LAT,LON,TIME,WIND,PR,STAT
15.60,-59.30,10/03/12Z,30,1008,TROPICAL DEPRESSION
16.20,-59.60,10/03/18Z,35,1007,TROPICAL STORM
16.40,-59.80,10/04/00Z,45,1005,TROPICAL STORM
16.50,-60.10,10/04/06Z,50,997,TROPICAL STORM
16.60,-60.40,10/04/12Z,50,997,TROPICAL STORM
16.80,-60.70,10/04/18Z,55,997,TROPICAL STORM
16.90,-60.90,10/05/00Z,55,996,TROPICAL STORM
17.00,-61.10,10/05/06Z,60,993,TROPICAL STORM
17.20,-61.20,10/05/12Z,70,985,HURRICANE-1
17.40,-61.40,10/05/18Z,70,991,HURRICANE-1
17.70,-61.60,10/06/00Z,65,992,HURRICANE-1
18.10,-61.80,10/06/06Z,60,994,TROPICAL STORM
18.30,-62.10,10/06/12Z,60,995,TROPICAL STORM
18.60,-62.30,10/06/18Z,55,996,TROPICAL STORM
18.70,-62.70,10/07/00Z,55,998,TROPICAL STORM
18.80,-63.10,10/07/06Z,55,1000,TROPICAL STORM
18.90,-63.80,10/07/12Z,50,1001,TROPICAL STORM
19.20,-64.90,10/07/18Z,40,1004,TROPICAL STORM
19.70,-66.10,10/08/00Z,30,1005,TROPICAL DEPRESSION
20.40,-67.50,10/08/06Z,30,1005,TROPICAL DEPRESSION
21.10,-68.90,10/08/12Z,40,1005,TROPICAL STORM
21.90,-70.10,10/08/18Z,45,1004,TROPICAL STORM
22.60,-71.20,10/09/00Z,45,1004,TROPICAL STORM
23.40,-72.30,10/09/06Z,45,1006,TROPICAL STORM
24.50,-73.40,10/09/12Z,35,1007,TROPICAL STORM
