LAT,LON,TIME,WIND,PR,STAT
10.80,-35.50,08/16/18Z,25,1010,TROPICAL DEPRESSION
11.20,-37.40,08/17/00Z,30,1009,TROPICAL DEPRESSION
11.70,-39.60,08/17/06Z,30,1008,TROPICAL DEPRESSION
12.30,-42.00,08/17/12Z,35,1006,TROPICAL STORM
13.10,-44.20,08/17/18Z,35,1003,TROPICAL STORM
13.60,-46.20,08/18/00Z,40,1002,TROPICAL STORM
14.10,-48.00,08/18/06Z,45,1001,TROPICAL STORM
14.60,-49.90,08/18/12Z,45,1000,TROPICAL STORM
15.40,-51.80,08/18/18Z,45,1000,TROPICAL STORM
16.30,-53.50,08/19/00Z,45,1001,TROPICAL STORM
17.20,-55.30,08/19/06Z,45,1002,TROPICAL STORM
18.00,-56.90,08/19/12Z,45,1005,TROPICAL STORM
18.80,-58.30,08/19/18Z,45,1007,TROPICAL STORM
19.80,-59.30,08/20/00Z,40,1011,TROPICAL STORM
20.70,-60.00,08/20/06Z,40,1013,TROPICAL STORM
21.70,-60.70,08/20/12Z,40,1015,TROPICAL STORM
22.50,-61.50,08/20/18Z,40,1014,TROPICAL STORM
23.20,-62.40,08/21/00Z,45,1014,TROPICAL STORM
23.90,-63.30,08/21/06Z,45,1010,TROPICAL STORM
24.40,-64.20,08/21/12Z,50,1007,TROPICAL STORM
24.80,-64.90,08/21/18Z,50,1004,TROPICAL STORM
25.30,-65.90,08/22/00Z,55,1000,TROPICAL STORM
25.60,-67.00,08/22/06Z,65,994,HURRICANE-1
25.80,-68.30,08/22/12Z,80,981,HURRICANE-1
25.70,-69.70,08/22/18Z,95,969,HURRICANE-2
25.60,-71.10,08/23/00Z,110,961,HURRICANE-3
25.50,-72.50,08/23/06Z,130,947,HURRICANE-4
25.40,-74.20,08/23/12Z,145,933,HURRICANE-5
25.40,-75.80,08/23/18Z,150,922,HURRICANE-5
25.40,-76.60,08/23/21Z,140,923,HURRICANE-5
25.40,-77.50,08/24/00Z,125,930,HURRICANE-4
25.40,-77.80,08/24/01Z,130,931,HURRICANE-4
25.40,-79.30,08/24/06Z,130,937,HURRICANE-4
25.50,-80.20,08/24/08Z,145,926,HURRICANE-5
25.50,-80.30,08/24/09Z,145,922,HURRICANE-5
25.60,-81.20,08/24/12Z,115,951,HURRICANE-4
25.80,-83.10,08/24/18Z,115,947,HURRICANE-4
26.20,-85.00,08/25/00Z,115,943,HURRICANE-4
26.60,-86.70,08/25/06Z,115,948,HURRICANE-4
27.20,-88.20,08/25/12Z,120,946,HURRICANE-4
27.80,-89.60,08/25/18Z,125,941,HURRICANE-4
28.50,-90.50,08/26/00Z,125,937,HURRICANE-4
29.20,-91.30,08/26/06Z,120,955,HURRICANE-4
29.60,-91.50,08/26/08Z,100,956,HURRICANE-3
30.10,-91.70,08/26/12Z,80,973,HURRICANE-1
30.90,-91.60,08/26/18Z,50,991,TROPICAL STORM
31.50,-91.10,08/27/00Z,35,995,TROPICAL STORM
32.10,-90.50,08/27/06Z,30,997,TROPICAL DEPRESSION
32.80,-89.60,08/27/12Z,30,998,TROPICAL DEPRESSION
33.60,-88.40,08/27/18Z,25,999,TROPICAL DEPRESSION
34.40,-86.70,08/28/00Z,20,1000,TROPICAL DEPRESSION
35.40,-84.00,08/28/06Z,20,1000,TROPICAL DEPRESSION
