LAT,LON,TIME,WIND,PR,STAT
10.40,-40.30,08/04/12Z,30,1010,TROPICAL DEPRESSION
10.40,-41.70,08/04/18Z,30,1009,TROPICAL DEPRESSION
10.40,-43.40,08/05/00Z,35,1008,TROPICAL STORM
10.30,-45.30,08/05/06Z,40,1007,TROPICAL STORM
10.30,-47.30,08/05/12Z,45,1006,TROPICAL STORM
10.30,-49.20,08/05/18Z,45,1006,TROPICAL STORM
10.20,-51.00,08/06/00Z,45,1006,TROPICAL STORM
10.10,-52.90,08/06/06Z,50,1005,TROPICAL STORM
10.00,-54.90,08/06/12Z,50,1005,TROPICAL STORM
10.10,-56.80,08/06/18Z,50,1003,TROPICAL STORM
10.40,-58.60,08/07/00Z,50,1002,TROPICAL STORM
10.70,-60.50,08/07/06Z,50,1002,TROPICAL STORM
10.80,-60.80,08/07/07Z,50,1002,TROPICAL STORM
10.80,-61.80,08/07/10Z,50,1002,TROPICAL STORM
10.80,-62.40,08/07/12Z,50,1002,TROPICAL STORM
10.80,-64.10,08/07/18Z,45,1006,TROPICAL STORM
10.80,-65.70,08/08/00Z,40,1008,TROPICAL STORM
11.00,-67.60,08/08/06Z,40,1007,TROPICAL STORM
11.00,-68.30,08/08/08Z,40,1007,TROPICAL STORM
11.00,-69.70,08/08/12Z,40,1007,TROPICAL STORM
11.00,-71.80,08/08/18Z,40,1007,TROPICAL STORM
10.90,-73.80,08/09/00Z,40,1006,TROPICAL STORM
10.70,-75.80,08/09/06Z,35,1005,TROPICAL STORM
10.70,-77.80,08/09/12Z,30,1004,TROPICAL DEPRESSION
10.70,-79.20,08/09/18Z,30,1005,TROPICAL DEPRESSION
10.80,-80.30,08/10/00Z,30,1004,TROPICAL DEPRESSION
11.00,-81.40,08/10/06Z,35,1003,TROPICAL STORM
11.10,-82.60,08/10/12Z,40,1002,TROPICAL STORM
11.10,-83.80,08/10/17Z,40,1002,TROPICAL STORM
11.10,-84.00,08/10/18Z,35,1004,TROPICAL STORM
11.40,-85.00,08/11/00Z,25,1007,TROPICAL DEPRESSION
11.70,-85.80,08/11/06Z,20,1009,TROPICAL DEPRESSION
12.20,-86.80,08/11/12Z,20,1010,TROPICAL DEPRESSION
