LAT,LON,TIME,WIND,PR,STAT
19.90,-52.60,08/22/18Z,30,1020,TROPICAL DEPRESSION
20.50,-53.60,08/23/00Z,30,1020,TROPICAL DEPRESSION
21.30,-54.80,08/23/06Z,30,1020,TROPICAL DEPRESSION
22.30,-56.00,08/23/12Z,30,1020,TROPICAL DEPRESSION
23.20,-57.10,08/23/18Z,30,1020,TROPICAL DEPRESSION
24.30,-57.80,08/24/00Z,30,1020,TROPICAL DEPRESSION
25.40,-58.60,08/24/06Z,30,1020,TROPICAL DEPRESSION
26.70,-59.50,08/24/12Z,30,1020,TROPICAL DEPRESSION
27.60,-60.00,08/24/18Z,30,1019,TROPICAL DEPRESSION
28.00,-60.30,08/25/00Z,30,1018,TROPICAL DEPRESSION
27.90,-60.50,08/25/06Z,30,1017,TROPICAL DEPRESSION
28.00,-60.40,08/25/12Z,35,1016,TROPICAL STORM
28.20,-60.40,08/25/18Z,40,1015,TROPICAL STORM
28.30,-60.70,08/26/00Z,45,1013,TROPICAL STORM
27.90,-61.00,08/26/06Z,55,1010,TROPICAL STORM
27.40,-61.20,08/26/12Z,60,1007,TROPICAL STORM
26.90,-61.70,08/26/18Z,65,1004,HURRICANE-1
26.60,-62.40,08/27/00Z,60,1000,TROPICAL STORM
26.40,-63.00,08/27/06Z,60,997,TROPICAL STORM
26.30,-63.50,08/27/12Z,60,992,TROPICAL STORM
26.40,-64.40,08/27/18Z,65,982,HURRICANE-1
26.60,-65.20,08/28/00Z,75,981,HURRICANE-1
27.00,-66.10,08/28/06Z,75,982,HURRICANE-1
27.40,-66.90,08/28/12Z,75,981,HURRICANE-1
28.00,-67.60,08/28/18Z,75,976,HURRICANE-1
28.60,-68.20,08/29/00Z,70,973,HURRICANE-1
29.30,-68.80,08/29/06Z,70,978,HURRICANE-1
30.00,-69.20,08/29/12Z,70,979,HURRICANE-1
30.60,-69.70,08/29/18Z,70,978,HURRICANE-1
31.20,-70.20,08/30/00Z,70,977,HURRICANE-1
31.50,-70.80,08/30/06Z,70,976,HURRICANE-1
31.80,-71.40,08/30/12Z,75,975,HURRICANE-1
32.00,-72.20,08/30/18Z,75,974,HURRICANE-1
32.40,-73.00,08/31/00Z,80,972,HURRICANE-1
32.90,-73.80,08/31/06Z,85,970,HURRICANE-2
33.60,-74.70,08/31/12Z,95,965,HURRICANE-2
34.50,-75.20,08/31/18Z,100,962,HURRICANE-3
35.20,-75.10,08/31/21Z,100,961,HURRICANE-3
35.60,-74.90,09/01/00Z,100,960,HURRICANE-3
36.60,-74.40,09/01/06Z,100,962,HURRICANE-3
37.50,-72.70,09/01/12Z,95,965,HURRICANE-2
38.20,-70.70,09/01/18Z,90,969,HURRICANE-2
39.00,-68.50,09/02/00Z,90,971,HURRICANE-2
39.20,-66.00,09/02/06Z,90,972,HURRICANE-2
39.20,-63.60,09/02/12Z,90,973,HURRICANE-2
39.00,-61.40,09/02/18Z,85,974,HURRICANE-2
38.60,-59.60,09/03/00Z,80,975,HURRICANE-1
38.10,-58.30,09/03/06Z,75,979,HURRICANE-1
37.50,-57.70,09/03/12Z,70,985,HURRICANE-1
36.90,-57.50,09/03/18Z,60,994,TROPICAL STORM
36.40,-57.60,09/04/00Z,50,999,TROPICAL STORM
36.00,-57.60,09/04/06Z,40,1002,TROPICAL STORM
35.80,-57.50,09/04/12Z,35,1001,TROPICAL STORM
36.10,-57.20,09/04/18Z,30,1006,TROPICAL DEPRESSION
36.70,-56.90,09/05/00Z,30,1008,TROPICAL DEPRESSION
37.40,-56.40,09/05/06Z,30,1009,TROPICAL DEPRESSION
38.00,-55.70,09/05/12Z,25,1010,TROPICAL DEPRESSION
38.70,-54.80,09/05/18Z,25,1011,TROPICAL DEPRESSION
39.00,-53.00,09/06/00Z,25,1012,TROPICAL DEPRESSION
39.30,-51.10,09/06/06Z,25,1013,TROPICAL DEPRESSION
39.80,-49.40,09/06/12Z,25,1014,EXTRATROPICAL DEPRESSION
