LAT,LON,TIME,WIND,PR,STAT
13.20,-33.00,08/22/00Z,30,1009,TROPICAL DEPRESSION
13.70,-34.30,08/22/06Z,35,1005,TROPICAL STORM
14.20,-35.20,08/22/12Z,45,1002,TROPICAL STORM
14.60,-36.20,08/22/18Z,50,998,TROPICAL STORM
14.80,-37.30,08/23/00Z,60,995,TROPICAL STORM
14.90,-38.30,08/23/06Z,65,987,HURRICANE-1
15.00,-39.20,08/23/12Z,70,985,HURRICANE-1
15.10,-40.30,08/23/18Z,75,982,HURRICANE-1
15.20,-41.00,08/24/00Z,80,975,HURRICANE-1
15.30,-41.90,08/24/06Z,85,973,HURRICANE-2
15.40,-42.60,08/24/12Z,90,971,HURRICANE-2
15.70,-43.20,08/24/18Z,95,968,HURRICANE-2
16.10,-43.80,08/25/00Z,90,970,HURRICANE-2
16.70,-44.40,08/25/06Z,90,970,HURRICANE-2
17.60,-45.10,08/25/12Z,90,970,HURRICANE-2
18.50,-45.90,08/25/18Z,90,970,HURRICANE-2
19.40,-46.60,08/26/00Z,90,970,HURRICANE-2
20.00,-47.20,08/26/06Z,90,970,HURRICANE-2
20.60,-47.60,08/26/12Z,85,972,HURRICANE-2
21.40,-48.00,08/26/18Z,80,975,HURRICANE-1
22.20,-48.20,08/27/00Z,80,980,HURRICANE-1
22.90,-48.00,08/27/06Z,75,982,HURRICANE-1
24.10,-48.20,08/27/12Z,70,984,HURRICANE-1
25.40,-48.40,08/27/18Z,70,986,HURRICANE-1
26.40,-48.60,08/28/00Z,65,992,HURRICANE-1
27.10,-48.80,08/28/06Z,65,994,HURRICANE-1
27.70,-49.10,08/28/12Z,65,991,HURRICANE-1
28.40,-49.30,08/28/18Z,65,987,HURRICANE-1
29.00,-49.40,08/29/00Z,65,985,HURRICANE-1
29.50,-49.40,08/29/06Z,70,983,HURRICANE-1
30.00,-49.20,08/29/12Z,75,981,HURRICANE-1
30.60,-48.90,08/29/18Z,75,979,HURRICANE-1
31.30,-48.30,08/30/00Z,80,978,HURRICANE-1
32.80,-47.10,08/30/06Z,80,976,HURRICANE-1
34.00,-45.70,08/30/12Z,80,974,HURRICANE-1
35.20,-44.00,08/30/18Z,80,971,HURRICANE-1
36.00,-41.90,08/31/00Z,80,970,HURRICANE-1
37.10,-40.00,08/31/06Z,80,971,HURRICANE-1
38.30,-39.00,08/31/12Z,70,985,HURRICANE-1
39.10,-38.20,08/31/18Z,60,995,TROPICAL STORM
40.00,-37.00,09/01/00Z,45,1000,TROPICAL STORM
