LAT,LON,TIME,WIND,PR,STAT
11.30,-22.70,08/27/12Z,25,1010,TROPICAL DEPRESSION
11.10,-23.80,08/27/18Z,25,1010,TROPICAL DEPRESSION
11.00,-24.30,08/28/00Z,25,1009,TROPICAL DEPRESSION
10.90,-24.90,08/28/06Z,25,1009,TROPICAL DEPRESSION
11.10,-26.00,08/28/12Z,30,1008,TROPICAL DEPRESSION
11.40,-27.50,08/28/18Z,30,1008,TROPICAL DEPRESSION
11.60,-29.00,08/29/00Z,35,1005,TROPICAL STORM
11.80,-30.50,08/29/06Z,40,1000,TROPICAL STORM
12.20,-31.90,08/29/12Z,40,1000,TROPICAL STORM
12.70,-33.10,08/29/18Z,40,1003,TROPICAL STORM
13.00,-34.20,08/30/00Z,40,1005,TROPICAL STORM
13.20,-35.30,08/30/06Z,45,1005,TROPICAL STORM
13.40,-36.20,08/30/12Z,55,1005,TROPICAL STORM
13.70,-37.00,08/30/18Z,65,1002,HURRICANE-1
14.00,-37.90,08/31/00Z,70,998,HURRICANE-1
14.30,-38.80,08/31/06Z,80,992,HURRICANE-1
14.60,-39.70,08/31/12Z,85,979,HURRICANE-2
15.00,-40.70,08/31/18Z,95,971,HURRICANE-2
15.40,-41.70,09/01/00Z,100,965,HURRICANE-3
15.80,-42.60,09/01/06Z,105,958,HURRICANE-3
16.20,-43.60,09/01/12Z,115,950,HURRICANE-4
16.50,-44.70,09/01/18Z,115,948,HURRICANE-4
16.80,-45.80,09/02/00Z,115,948,HURRICANE-4
17.00,-46.90,09/02/06Z,115,948,HURRICANE-4
17.20,-48.00,09/02/12Z,115,948,HURRICANE-4
17.30,-49.20,09/02/18Z,115,948,HURRICANE-4
17.30,-50.50,09/03/00Z,115,948,HURRICANE-4
17.40,-51.80,09/03/06Z,120,948,HURRICANE-4
17.30,-53.10,09/03/12Z,120,948,HURRICANE-4
17.30,-54.30,09/03/18Z,120,945,HURRICANE-4
17.10,-55.60,09/04/00Z,120,942,HURRICANE-4
17.00,-56.80,09/04/06Z,120,940,HURRICANE-4
17.00,-58.00,09/04/12Z,120,945,HURRICANE-4
17.00,-59.10,09/04/18Z,120,943,HURRICANE-4
17.10,-60.10,09/05/00Z,120,940,HURRICANE-4
17.30,-61.00,09/05/06Z,120,939,HURRICANE-4
17.50,-61.70,09/05/12Z,115,945,HURRICANE-4
18.00,-62.40,09/05/18Z,115,944,HURRICANE-4
18.40,-63.00,09/06/00Z,115,942,HURRICANE-4
18.90,-63.60,09/06/06Z,115,939,HURRICANE-4
19.40,-64.20,09/06/12Z,115,943,HURRICANE-4
20.10,-64.90,09/06/18Z,115,940,HURRICANE-4
20.70,-65.40,09/07/00Z,115,938,HURRICANE-4
21.30,-66.00,09/07/06Z,115,936,HURRICANE-4
22.00,-66.60,09/07/12Z,110,941,HURRICANE-3
22.80,-67.20,09/07/18Z,110,938,HURRICANE-3
24.30,-68.00,09/08/00Z,110,935,HURRICANE-3
25.80,-68.80,09/08/06Z,110,939,HURRICANE-3
26.40,-69.30,09/08/12Z,105,941,HURRICANE-3
26.50,-69.50,09/08/18Z,100,944,HURRICANE-3
27.10,-69.80,09/09/00Z,95,945,HURRICANE-2
29.10,-69.50,09/09/06Z,90,949,HURRICANE-2
31.00,-69.10,09/09/12Z,85,952,HURRICANE-2
32.70,-68.60,09/09/18Z,85,955,HURRICANE-2
34.50,-67.20,09/10/00Z,85,959,HURRICANE-2
36.50,-65.40,09/10/06Z,85,963,HURRICANE-2
38.40,-63.70,09/10/12Z,80,961,HURRICANE-1
40.90,-60.90,09/10/18Z,80,966,HURRICANE-1
43.90,-57.70,09/11/00Z,80,965,HURRICANE-1
47.10,-54.20,09/11/06Z,80,963,HURRICANE-1
51.50,-48.50,09/11/12Z,70,960,EXTRATROPICAL STORM-1
55.00,-46.00,09/11/18Z,60,958,EXTRATROPICAL STORM
57.00,-45.00,09/12/00Z,60,955,EXTRATROPICAL STORM
58.00,-44.00,09/12/06Z,60,950,EXTRATROPICAL STORM
59.00,-42.00,09/12/12Z,60,955,EXTRATROPICAL STORM
60.00,-40.00,09/12/18Z,50,960,EXTRATROPICAL STORM
