LAT,LON,TIME,WIND,PR,STAT
9.80,-34.00,07/05/00Z,30,1009,TROPICAL DEPRESSION
10.20,-36.30,07/05/06Z,30,1008,TROPICAL DEPRESSION
11.00,-39.00,07/05/12Z,35,1007,TROPICAL STORM
12.00,-41.20,07/05/18Z,35,1006,TROPICAL STORM
12.70,-43.90,07/06/00Z,35,1005,TROPICAL STORM
13.10,-46.60,07/06/06Z,35,1004,TROPICAL STORM
13.70,-48.70,07/06/12Z,40,1002,TROPICAL STORM
14.20,-51.00,07/06/18Z,45,1000,TROPICAL STORM
14.90,-52.90,07/07/00Z,50,999,TROPICAL STORM
15.60,-54.80,07/07/06Z,55,997,TROPICAL STORM
16.40,-56.90,07/07/12Z,60,995,TROPICAL STORM
16.50,-58.40,07/07/18Z,70,992,HURRICANE-1
17.00,-60.10,07/08/00Z,75,988,HURRICANE-1
17.50,-61.80,07/08/06Z,75,985,HURRICANE-1
18.00,-63.50,07/08/12Z,70,983,HURRICANE-1
18.60,-64.90,07/08/18Z,75,978,HURRICANE-1
19.40,-66.10,07/09/00Z,80,970,HURRICANE-1
20.30,-67.70,07/09/06Z,100,960,HURRICANE-3
21.40,-69.40,07/09/12Z,100,965,HURRICANE-3
22.50,-71.10,07/09/18Z,90,967,HURRICANE-2
23.60,-72.60,07/10/00Z,85,969,HURRICANE-2
24.50,-74.00,07/10/06Z,80,971,HURRICANE-1
25.40,-75.30,07/10/12Z,80,968,HURRICANE-1
26.40,-75.80,07/10/18Z,80,966,HURRICANE-1
27.50,-76.40,07/11/00Z,75,968,HURRICANE-1
28.30,-76.80,07/11/06Z,75,972,HURRICANE-1
29.20,-77.50,07/11/12Z,75,977,HURRICANE-1
30.00,-78.00,07/11/18Z,70,980,HURRICANE-1
30.70,-78.30,07/12/00Z,70,982,HURRICANE-1
31.20,-78.60,07/12/06Z,70,984,HURRICANE-1
32.20,-78.40,07/12/12Z,85,975,HURRICANE-2
33.60,-78.10,07/12/18Z,90,974,HURRICANE-2
34.30,-77.80,07/12/20Z,90,974,HURRICANE-2
35.00,-77.60,07/13/00Z,65,993,HURRICANE-1
36.70,-77.00,07/13/06Z,60,993,TROPICAL STORM
38.30,-76.10,07/13/12Z,60,994,TROPICAL STORM
40.20,-74.50,07/13/18Z,60,994,TROPICAL STORM
42.10,-71.90,07/14/00Z,60,994,TROPICAL STORM
44.10,-69.00,07/14/06Z,55,995,TROPICAL STORM
46.00,-66.00,07/14/12Z,50,995,EXTRATROPICAL STORM
47.00,-62.00,07/14/18Z,50,995,EXTRATROPICAL STORM
48.00,-57.00,07/15/00Z,50,995,EXTRATROPICAL STORM
49.00,-52.00,07/15/06Z,45,996,EXTRATROPICAL STORM
51.00,-47.00,07/15/12Z,40,996,EXTRATROPICAL STORM
54.00,-44.00,07/15/18Z,40,996,EXTRATROPICAL STORM
57.50,-42.50,07/16/00Z,40,991,EXTRATROPICAL STORM
58.50,-42.50,07/16/06Z,40,988,EXTRATROPICAL STORM
59.50,-42.00,07/16/12Z,45,988,EXTRATROPICAL STORM
59.80,-41.00,07/16/18Z,45,985,EXTRATROPICAL STORM
60.00,-40.00,07/17/00Z,40,993,EXTRATROPICAL STORM
60.50,-39.00,07/17/06Z,35,1001,EXTRATROPICAL STORM
