LAT,LON,TIME,WIND,PR,STAT
17.30,-80.20,08/19/06Z,25,1009,TROPICAL DEPRESSION
17.80,-81.70,08/19/12Z,30,1008,TROPICAL DEPRESSION
18.20,-83.00,08/19/18Z,45,1006,TROPICAL STORM
18.60,-84.40,08/20/00Z,45,1006,TROPICAL STORM
18.80,-85.70,08/20/06Z,55,1005,TROPICAL STORM
19.00,-86.90,08/20/12Z,60,1002,TROPICAL STORM
19.10,-87.70,08/20/17Z,65,999,HURRICANE-1
19.20,-87.80,08/20/18Z,65,999,HURRICANE-1
19.20,-88.70,08/21/00Z,40,1001,TROPICAL STORM
19.30,-89.50,08/21/06Z,35,1002,TROPICAL STORM
19.40,-90.10,08/21/12Z,30,1002,TROPICAL DEPRESSION
19.50,-90.70,08/21/18Z,30,1002,TROPICAL DEPRESSION
19.70,-91.40,08/22/00Z,35,1002,TROPICAL STORM
20.10,-92.60,08/22/06Z,45,1002,TROPICAL STORM
20.40,-93.70,08/22/12Z,45,999,TROPICAL STORM
20.60,-94.20,08/22/18Z,50,993,TROPICAL STORM
20.90,-94.90,08/23/00Z,55,990,TROPICAL STORM
21.30,-96.10,08/23/06Z,60,991,TROPICAL STORM
21.60,-97.70,08/23/12Z,70,989,HURRICANE-1
21.60,-99.30,08/23/18Z,45,997,TROPICAL STORM
21.60,-100.90,08/24/00Z,30,1002,TROPICAL DEPRESSION
21.60,-102.50,08/24/06Z,25,1004,TROPICAL DEPRESSION
21.70,-104.00,08/24/12Z,20,1005,TROPICAL DEPRESSION
21.70,-105.70,08/24/18Z,20,1005,TROPICAL DEPRESSION
21.80,-107.30,08/25/00Z,20,1005,TROPICAL DEPRESSION
