LAT,LON,TIME,WIND,PR,STAT
14.00,-21.00,08/23/12Z,25,1012,TROPICAL DEPRESSION
14.10,-22.80,08/23/18Z,25,1011,TROPICAL DEPRESSION
14.20,-24.80,08/24/00Z,25,1010,TROPICAL DEPRESSION
14.20,-26.60,08/24/06Z,30,1009,TROPICAL DEPRESSION
14.10,-28.20,08/24/12Z,30,1009,TROPICAL DEPRESSION
14.10,-29.60,08/24/18Z,30,1009,TROPICAL DEPRESSION
14.10,-30.80,08/25/00Z,25,1009,TROPICAL DEPRESSION
14.30,-32.00,08/25/06Z,25,1009,TROPICAL DEPRESSION
14.60,-33.40,08/25/12Z,25,1009,TROPICAL DEPRESSION
14.70,-35.10,08/25/18Z,25,1009,TROPICAL DEPRESSION
14.90,-37.00,08/26/00Z,25,1009,TROPICAL DEPRESSION
15.10,-38.60,08/26/06Z,25,1009,TROPICAL DEPRESSION
15.30,-40.00,08/26/12Z,30,1009,TROPICAL DEPRESSION
15.20,-41.40,08/26/18Z,30,1008,TROPICAL DEPRESSION
14.90,-42.70,08/27/00Z,30,1007,TROPICAL DEPRESSION
14.70,-43.80,08/27/06Z,30,1006,TROPICAL DEPRESSION
14.60,-44.90,08/27/12Z,35,1005,TROPICAL STORM
14.60,-46.10,08/27/18Z,40,1004,TROPICAL STORM
14.60,-47.50,08/28/00Z,45,1002,TROPICAL STORM
15.00,-49.10,08/28/06Z,50,1000,TROPICAL STORM
15.50,-50.70,08/28/12Z,55,995,TROPICAL STORM
15.90,-52.30,08/28/18Z,60,990,TROPICAL STORM
16.40,-53.70,08/29/00Z,65,987,HURRICANE-1
17.00,-55.00,08/29/06Z,65,987,HURRICANE-1
17.80,-56.30,08/29/12Z,65,988,HURRICANE-1
18.60,-57.50,08/29/18Z,65,988,HURRICANE-1
19.10,-58.50,08/30/00Z,65,991,HURRICANE-1
19.40,-59.40,08/30/06Z,65,991,HURRICANE-1
19.80,-60.10,08/30/12Z,65,989,HURRICANE-1
20.20,-60.60,08/30/18Z,60,990,TROPICAL STORM
20.50,-60.90,08/31/00Z,60,988,TROPICAL STORM
20.80,-61.20,08/31/06Z,60,987,TROPICAL STORM
21.10,-61.40,08/31/12Z,65,984,HURRICANE-1
21.50,-61.70,08/31/18Z,65,983,HURRICANE-1
21.70,-62.10,09/01/00Z,65,978,HURRICANE-1
21.90,-62.60,09/01/06Z,65,982,HURRICANE-1
22.20,-63.20,09/01/12Z,70,982,HURRICANE-1
22.50,-63.90,09/01/18Z,75,981,HURRICANE-1
22.90,-64.70,09/02/00Z,75,978,HURRICANE-1
23.30,-65.70,09/02/06Z,75,976,HURRICANE-1
23.60,-66.70,09/02/12Z,75,976,HURRICANE-1
23.90,-67.90,09/02/18Z,75,976,HURRICANE-1
24.20,-69.00,09/03/00Z,75,977,HURRICANE-1
24.40,-70.10,09/03/06Z,80,975,HURRICANE-1
24.70,-71.20,09/03/12Z,80,973,HURRICANE-1
25.20,-72.20,09/03/18Z,85,968,HURRICANE-2
25.70,-73.10,09/04/00Z,95,961,HURRICANE-2
26.40,-73.90,09/04/06Z,100,953,HURRICANE-3
27.00,-74.70,09/04/12Z,105,956,HURRICANE-3
27.70,-75.50,09/04/18Z,105,952,HURRICANE-3
28.60,-76.10,09/05/00Z,105,946,HURRICANE-3
29.80,-76.70,09/05/06Z,105,952,HURRICANE-3
31.00,-77.20,09/05/12Z,100,954,HURRICANE-3
32.30,-77.80,09/05/18Z,100,952,HURRICANE-3
33.70,-78.00,09/06/00Z,100,954,HURRICANE-3
33.90,-78.00,09/06/00Z,100,954,HURRICANE-3
35.20,-78.70,09/06/06Z,65,970,HURRICANE-1
36.70,-79.00,09/06/12Z,40,985,TROPICAL STORM
38.00,-79.40,09/06/18Z,30,995,TROPICAL DEPRESSION
39.20,-79.90,09/07/00Z,30,1000,TROPICAL DEPRESSION
40.40,-80.40,09/07/06Z,30,1001,TROPICAL DEPRESSION
41.20,-80.50,09/07/12Z,30,1001,TROPICAL DEPRESSION
42.00,-80.40,09/07/18Z,30,1000,TROPICAL DEPRESSION
42.80,-80.10,09/08/00Z,30,999,TROPICAL DEPRESSION
43.40,-79.90,09/08/06Z,30,999,TROPICAL DEPRESSION
44.00,-79.00,09/08/12Z,25,1000,TROPICAL DEPRESSION
44.50,-77.60,09/08/18Z,25,1001,TROPICAL DEPRESSION
44.90,-75.90,09/09/00Z,25,1002,EXTRATROPICAL DEPRESSION
45.40,-74.00,09/09/06Z,20,1004,EXTRATROPICAL DEPRESSION
45.70,-72.30,09/09/12Z,15,1006,EXTRATROPICAL DEPRESSION
46.00,-71.10,09/09/18Z,15,1008,EXTRATROPICAL DEPRESSION
46.70,-70.00,09/10/00Z,15,1010,EXTRATROPICAL DEPRESSION
