LAT,LON,TIME,WIND,PR,STAT
8.60,-23.30,09/24/12Z,25,1008,TROPICAL DEPRESSION
9.20,-25.20,09/24/18Z,30,1008,TROPICAL DEPRESSION
9.90,-26.90,09/25/00Z,30,1006,TROPICAL DEPRESSION
10.30,-28.50,09/25/06Z,35,1004,TROPICAL STORM
10.70,-30.00,09/25/12Z,45,1000,TROPICAL STORM
11.00,-31.70,09/25/18Z,50,994,TROPICAL STORM
11.20,-32.80,09/26/00Z,60,988,TROPICAL STORM
11.70,-34.20,09/26/06Z,70,984,HURRICANE-1
12.40,-35.80,09/26/12Z,70,980,HURRICANE-1
12.80,-37.10,09/26/18Z,75,977,HURRICANE-1
13.10,-38.60,09/27/00Z,80,974,HURRICANE-1
13.70,-39.80,09/27/06Z,85,972,HURRICANE-2
14.10,-41.10,09/27/12Z,90,968,HURRICANE-2
14.90,-42.20,09/27/18Z,95,963,HURRICANE-2
15.80,-42.90,09/28/00Z,100,960,HURRICANE-3
16.70,-43.10,09/28/06Z,100,961,HURRICANE-3
17.80,-43.20,09/28/12Z,95,965,HURRICANE-2
19.00,-43.20,09/28/18Z,90,968,HURRICANE-2
20.00,-42.90,09/29/00Z,85,973,HURRICANE-2
20.80,-42.20,09/29/06Z,75,979,HURRICANE-1
21.80,-41.30,09/29/12Z,70,982,HURRICANE-1
22.60,-40.90,09/29/18Z,65,986,HURRICANE-1
23.80,-40.40,09/30/00Z,60,989,TROPICAL STORM
25.30,-40.10,09/30/06Z,60,992,TROPICAL STORM
26.70,-40.00,09/30/12Z,50,995,TROPICAL STORM
28.20,-40.10,09/30/18Z,45,997,TROPICAL STORM
29.90,-40.30,10/01/00Z,35,1000,TROPICAL STORM
31.60,-40.40,10/01/06Z,35,1002,TROPICAL STORM
33.60,-40.40,10/01/12Z,30,1005,TROPICAL DEPRESSION
35.80,-40.30,10/01/18Z,30,1008,TROPICAL DEPRESSION
38.10,-40.20,10/02/00Z,25,1010,EXTRATROPICAL DEPRESSION
40.30,-39.60,10/02/06Z,20,1013,EXTRATROPICAL DEPRESSION
43.00,-36.00,10/02/12Z,20,1015,EXTRATROPICAL DEPRESSION
