LAT,LON,TIME,WIND,PR,STAT
12.80,-80.40,10/14/12Z,25,1006,TROPICAL DEPRESSION
13.40,-80.90,10/14/18Z,25,1005,TROPICAL DEPRESSION
14.10,-81.40,10/15/00Z,25,1005,TROPICAL DEPRESSION
14.80,-81.90,10/15/06Z,25,1005,TROPICAL DEPRESSION
15.40,-82.50,10/15/12Z,30,1004,TROPICAL DEPRESSION
16.10,-83.10,10/15/18Z,30,1003,TROPICAL DEPRESSION
16.80,-83.50,10/16/00Z,30,999,TROPICAL DEPRESSION
17.50,-83.80,10/16/06Z,35,998,TROPICAL STORM
18.20,-83.80,10/16/12Z,45,998,TROPICAL STORM
18.30,-84.50,10/16/18Z,50,996,TROPICAL STORM
18.20,-84.20,10/17/00Z,55,992,TROPICAL STORM
18.80,-83.70,10/17/06Z,60,990,TROPICAL STORM
19.60,-83.50,10/17/12Z,65,987,HURRICANE-1
20.50,-83.10,10/17/18Z,70,984,HURRICANE-1
21.30,-82.80,10/18/00Z,70,982,HURRICANE-1
21.80,-82.20,10/18/06Z,75,980,HURRICANE-1
22.30,-82.00,10/18/09Z,85,975,HURRICANE-2
22.40,-81.50,10/18/12Z,85,975,HURRICANE-2
22.50,-80.00,10/18/18Z,80,975,HURRICANE-1
23.00,-78.20,10/19/00Z,85,975,HURRICANE-2
23.50,-76.20,10/19/06Z,90,970,HURRICANE-2
24.40,-74.00,10/19/12Z,100,960,HURRICANE-3
25.50,-71.50,10/19/18Z,90,962,HURRICANE-2
26.90,-69.00,10/20/00Z,80,964,HURRICANE-1
28.30,-67.00,10/20/06Z,80,968,HURRICANE-1
29.60,-65.00,10/20/12Z,85,960,HURRICANE-2
30.70,-62.90,10/20/18Z,75,970,HURRICANE-1
31.90,-60.80,10/21/00Z,75,980,HURRICANE-1
33.00,-59.10,10/21/06Z,70,985,HURRICANE-1
33.70,-57.90,10/21/12Z,65,986,HURRICANE-1
34.00,-57.00,10/21/18Z,65,987,HURRICANE-1
34.00,-55.90,10/22/00Z,65,987,HURRICANE-1
33.80,-55.20,10/22/06Z,65,987,HURRICANE-1
33.70,-54.60,10/22/12Z,65,987,HURRICANE-1
33.50,-54.00,10/22/18Z,65,987,HURRICANE-1
33.40,-53.90,10/23/00Z,65,987,HURRICANE-1
33.20,-53.80,10/23/06Z,65,985,HURRICANE-1
33.10,-53.70,10/23/12Z,65,981,HURRICANE-1
33.30,-53.20,10/23/18Z,70,979,HURRICANE-1
33.70,-52.80,10/24/00Z,70,979,HURRICANE-1
34.00,-52.50,10/24/06Z,70,979,HURRICANE-1
34.00,-51.90,10/24/12Z,70,979,HURRICANE-1
34.10,-51.20,10/24/18Z,75,979,HURRICANE-1
34.30,-49.90,10/25/00Z,80,977,HURRICANE-1
35.00,-47.80,10/25/06Z,80,973,HURRICANE-1
35.80,-45.40,10/25/12Z,85,970,HURRICANE-2
37.20,-43.30,10/25/18Z,80,971,HURRICANE-1
38.10,-41.00,10/26/00Z,75,975,HURRICANE-1
39.20,-38.80,10/26/06Z,70,978,HURRICANE-1
40.50,-35.80,10/26/12Z,65,979,HURRICANE-1
42.30,-33.20,10/26/18Z,60,980,TROPICAL STORM
44.30,-30.50,10/27/00Z,55,978,TROPICAL STORM
46.30,-27.20,10/27/06Z,55,980,EXTRATROPICAL STORM
48.20,-23.10,10/27/12Z,55,978,EXTRATROPICAL STORM
50.30,-19.00,10/27/18Z,55,973,EXTRATROPICAL STORM
52.50,-15.50,10/28/00Z,55,973,EXTRATROPICAL STORM
53.80,-12.00,10/28/06Z,55,973,EXTRATROPICAL STORM
54.00,-7.50,10/28/12Z,55,970,EXTRATROPICAL STORM
54.50,-3.50,10/28/18Z,55,970,EXTRATROPICAL STORM
54.00,1.00,10/29/00Z,55,976,EXTRATROPICAL STORM
