LAT,LON,TIME,WIND,PR,STAT
14.70,-48.10,08/19/12Z,25,1009,TROPICAL DEPRESSION
15.40,-50.10,08/19/18Z,30,1009,TROPICAL DEPRESSION
16.20,-52.20,08/20/00Z,30,1009,TROPICAL DEPRESSION
16.90,-54.70,08/20/06Z,30,1008,TROPICAL DEPRESSION
17.30,-57.30,08/20/12Z,35,1007,TROPICAL STORM
18.20,-59.60,08/20/18Z,35,1006,TROPICAL STORM
18.70,-61.30,08/21/00Z,40,1005,TROPICAL STORM
19.10,-62.90,08/21/06Z,45,1002,TROPICAL STORM
19.50,-64.50,08/21/12Z,50,1000,TROPICAL STORM
20.30,-65.90,08/21/18Z,55,999,TROPICAL STORM
21.10,-67.30,08/22/00Z,65,991,HURRICANE-1
21.80,-68.70,08/22/06Z,70,989,HURRICANE-1
22.30,-69.80,08/22/12Z,75,980,HURRICANE-1
23.00,-70.50,08/22/18Z,85,970,HURRICANE-2
23.40,-71.00,08/23/00Z,90,962,HURRICANE-2
23.80,-71.30,08/23/06Z,95,960,HURRICANE-2
24.10,-71.50,08/23/12Z,100,958,HURRICANE-3
24.40,-71.70,08/23/18Z,100,955,HURRICANE-3
24.80,-71.80,08/24/00Z,100,954,HURRICANE-3
25.20,-72.10,08/24/06Z,100,960,HURRICANE-3
25.60,-72.40,08/24/12Z,100,962,HURRICANE-3
26.10,-72.80,08/24/18Z,100,962,HURRICANE-3
26.90,-73.20,08/25/00Z,100,963,HURRICANE-3
27.80,-73.80,08/25/06Z,100,962,HURRICANE-3
28.80,-74.70,08/25/12Z,100,963,HURRICANE-3
29.80,-75.60,08/25/18Z,100,963,HURRICANE-3
30.80,-76.40,08/26/00Z,100,958,HURRICANE-3
31.70,-77.30,08/26/06Z,100,964,HURRICANE-3
32.70,-77.80,08/26/12Z,100,965,HURRICANE-3
33.40,-77.80,08/26/18Z,100,962,HURRICANE-3
34.00,-77.70,08/27/00Z,95,963,HURRICANE-2
34.40,-77.70,08/27/04Z,95,964,HURRICANE-2
34.50,-77.50,08/27/06Z,85,965,HURRICANE-2
34.90,-77.10,08/27/12Z,75,974,HURRICANE-1
35.40,-76.60,08/27/18Z,60,980,TROPICAL STORM
35.80,-75.90,08/28/00Z,65,983,HURRICANE-1
36.20,-75.10,08/28/06Z,75,985,HURRICANE-1
36.70,-74.30,08/28/12Z,65,990,HURRICANE-1
37.30,-73.20,08/28/18Z,60,991,TROPICAL STORM
38.30,-71.40,08/29/00Z,45,993,TROPICAL STORM
39.20,-69.60,08/29/06Z,45,999,TROPICAL STORM
40.20,-67.80,08/29/12Z,45,999,TROPICAL STORM
41.60,-64.80,08/29/18Z,45,1000,TROPICAL STORM
42.90,-61.50,08/30/00Z,45,1000,TROPICAL STORM
44.30,-57.00,08/30/06Z,45,1000,TROPICAL STORM
44.50,-53.50,08/30/12Z,45,1000,TROPICAL STORM
44.00,-50.00,08/30/18Z,45,998,EXTRATROPICAL STORM
44.00,-45.00,08/31/00Z,45,996,EXTRATROPICAL STORM
43.00,-41.00,08/31/06Z,40,996,EXTRATROPICAL STORM
