LAT,LON,TIME,WIND,PR,STAT
27.50,-95.00,06/05/12Z,40,1007,TROPICAL STORM
28.50,-95.30,06/05/18Z,50,1002,TROPICAL STORM
28.90,-95.30,06/05/21Z,45,1003,TROPICAL STORM
29.30,-95.30,06/06/00Z,45,1003,TROPICAL STORM
30.10,-95.20,06/06/06Z,30,1006,TROPICAL DEPRESSION
31.00,-95.20,06/06/12Z,20,1005,TROPICAL DEPRESSION
31.50,-95.00,06/06/18Z,20,1005,TROPICAL DEPRESSION
31.60,-95.00,06/07/00Z,20,1005,TROPICAL DEPRESSION
31.80,-94.90,06/07/06Z,20,1006,TROPICAL DEPRESSION
31.40,-94.90,06/07/12Z,20,1006,TROPICAL DEPRESSION
31.10,-95.00,06/07/18Z,15,1007,TROPICAL DEPRESSION
30.90,-95.60,06/08/00Z,15,1002,TROPICAL DEPRESSION
30.70,-96.10,06/08/06Z,20,1004,TROPICAL DEPRESSION
30.40,-96.20,06/08/12Z,20,1007,TROPICAL DEPRESSION
30.20,-96.10,06/08/18Z,20,1007,TROPICAL DEPRESSION
29.90,-95.90,06/09/00Z,20,1007,TROPICAL DEPRESSION
29.60,-95.80,06/09/06Z,20,1007,TROPICAL DEPRESSION
29.30,-95.80,06/09/12Z,20,1007,TROPICAL DEPRESSION
28.90,-95.60,06/09/18Z,20,1008,TROPICAL DEPRESSION
28.60,-95.20,06/10/00Z,20,1008,SUBTROPICAL DEPRESSION
28.60,-94.70,06/10/06Z,25,1007,SUBTROPICAL DEPRESSION
28.70,-94.30,06/10/12Z,25,1006,SUBTROPICAL DEPRESSION
28.80,-93.50,06/10/18Z,30,1006,SUBTROPICAL DEPRESSION
29.10,-92.30,06/11/00Z,30,1005,SUBTROPICAL DEPRESSION
29.60,-91.60,06/11/02Z,30,1004,SUBTROPICAL DEPRESSION
30.00,-90.50,06/11/06Z,35,1003,SUBTROPICAL STORM
30.70,-89.40,06/11/12Z,40,1000,SUBTROPICAL STORM
31.00,-88.40,06/11/18Z,35,1002,SUBTROPICAL STORM
31.30,-87.40,06/12/00Z,25,1004,SUBTROPICAL DEPRESSION
31.80,-86.10,06/12/06Z,20,1005,SUBTROPICAL DEPRESSION
32.40,-84.70,06/12/12Z,20,1006,SUBTROPICAL DEPRESSION
32.80,-83.60,06/12/18Z,20,1006,SUBTROPICAL DEPRESSION
33.10,-82.60,06/13/00Z,20,1006,SUBTROPICAL DEPRESSION
33.40,-81.60,06/13/06Z,25,1004,SUBTROPICAL DEPRESSION
33.70,-80.70,06/13/12Z,25,1005,SUBTROPICAL DEPRESSION
34.00,-79.60,06/13/18Z,25,1006,SUBTROPICAL DEPRESSION
34.30,-78.50,06/14/00Z,25,1006,SUBTROPICAL DEPRESSION
34.60,-77.90,06/14/06Z,25,1006,SUBTROPICAL DEPRESSION
34.70,-77.70,06/14/12Z,25,1007,SUBTROPICAL DEPRESSION
34.60,-77.60,06/14/18Z,25,1008,SUBTROPICAL DEPRESSION
34.60,-77.20,06/15/00Z,25,1008,SUBTROPICAL DEPRESSION
34.90,-77.00,06/15/06Z,25,1008,SUBTROPICAL DEPRESSION
35.50,-76.90,06/15/12Z,25,1008,SUBTROPICAL DEPRESSION
35.90,-76.80,06/15/18Z,25,1009,SUBTROPICAL DEPRESSION
36.30,-76.60,06/16/00Z,25,1007,SUBTROPICAL DEPRESSION
36.60,-76.20,06/16/06Z,25,1007,SUBTROPICAL DEPRESSION
36.80,-75.90,06/16/12Z,25,1007,SUBTROPICAL DEPRESSION
37.20,-75.50,06/16/18Z,25,1006,SUBTROPICAL DEPRESSION
37.80,-75.40,06/17/00Z,25,1006,SUBTROPICAL DEPRESSION
38.60,-74.50,06/17/06Z,30,1005,SUBTROPICAL DEPRESSION
39.30,-73.40,06/17/12Z,40,1004,SUBTROPICAL STORM
40.00,-72.10,06/17/18Z,35,1005,SUBTROPICAL STORM
40.60,-70.80,06/18/00Z,30,1006,EXTRATROPICAL DEPRESSION
41.30,-69.40,06/18/06Z,30,1008,EXTRATROPICAL DEPRESSION
42.00,-67.40,06/18/12Z,30,1009,EXTRATROPICAL DEPRESSION
42.70,-64.60,06/18/18Z,25,1011,EXTRATROPICAL DEPRESSION
43.50,-61.00,06/19/00Z,20,1012,EXTRATROPICAL DEPRESSION
