LAT,LON,TIME,WIND,PR,STAT
13.30,-83.60,10/29/18Z,30,1004,TROPICAL DEPRESSION
13.70,-83.60,10/30/00Z,30,1004,TROPICAL DEPRESSION
13.70,-84.10,10/30/06Z,30,1005,TROPICAL DEPRESSION
13.30,-83.90,10/30/12Z,30,1005,TROPICAL DEPRESSION
13.00,-83.50,10/30/18Z,30,1006,TROPICAL DEPRESSION
13.70,-83.60,10/31/00Z,30,1004,TROPICAL DEPRESSION
14.30,-83.40,10/31/06Z,30,1005,TROPICAL DEPRESSION
14.80,-83.20,10/31/12Z,30,1004,TROPICAL DEPRESSION
15.30,-83.10,10/31/18Z,30,1004,TROPICAL DEPRESSION
15.80,-83.10,11/01/00Z,35,1001,TROPICAL STORM
16.50,-83.40,11/01/06Z,45,999,TROPICAL STORM
16.80,-83.60,11/01/12Z,50,995,TROPICAL STORM
17.00,-83.80,11/01/18Z,50,993,TROPICAL STORM
17.30,-83.90,11/02/00Z,55,991,TROPICAL STORM
17.50,-83.90,11/02/06Z,60,988,TROPICAL STORM
17.80,-84.00,11/02/12Z,70,979,HURRICANE-1
18.00,-84.00,11/02/18Z,80,969,HURRICANE-1
18.50,-84.00,11/03/00Z,90,957,HURRICANE-2
18.80,-84.30,11/03/06Z,105,942,HURRICANE-3
18.90,-84.30,11/03/12Z,115,937,HURRICANE-4
19.30,-84.10,11/03/18Z,110,934,HURRICANE-3
19.70,-83.70,11/04/00Z,115,938,HURRICANE-4
20.10,-83.30,11/04/06Z,120,944,HURRICANE-4
20.80,-82.50,11/04/12Z,120,947,HURRICANE-4
21.50,-81.80,11/04/18Z,120,949,HURRICANE-4
22.10,-81.20,11/04/23Z,115,950,HURRICANE-4
22.30,-80.90,11/05/00Z,105,953,HURRICANE-3
23.10,-79.70,11/05/06Z,80,972,HURRICANE-1
24.30,-78.00,11/05/12Z,80,974,HURRICANE-1
25.40,-76.40,11/05/18Z,75,980,HURRICANE-1
26.30,-74.50,11/06/00Z,75,980,EXTRATROPICAL STORM-1
26.90,-72.60,11/06/06Z,75,980,EXTRATROPICAL STORM-1
27.30,-69.70,11/06/12Z,65,984,EXTRATROPICAL STORM-1
28.70,-66.50,11/06/18Z,55,989,EXTRATROPICAL STORM
