LAT,LON,TIME,WIND,PR,STAT
26.30,-86.60,09/12/00Z,30,1001,TROPICAL DEPRESSION
26.70,-86.40,09/12/06Z,35,1001,TROPICAL STORM
27.00,-86.70,09/12/12Z,35,1001,TROPICAL STORM
27.10,-87.50,09/12/18Z,35,1001,TROPICAL STORM
26.70,-88.00,09/13/00Z,35,1001,TROPICAL STORM
26.90,-88.80,09/13/06Z,40,1002,TROPICAL STORM
27.40,-89.30,09/13/12Z,45,1002,TROPICAL STORM
27.70,-89.30,09/13/18Z,45,1003,TROPICAL STORM
28.00,-89.20,09/14/00Z,50,1001,TROPICAL STORM
28.70,-89.10,09/14/06Z,50,1003,TROPICAL STORM
29.10,-89.10,09/14/08Z,50,1003,TROPICAL STORM
30.00,-88.80,09/14/12Z,50,1003,TROPICAL STORM
30.40,-88.40,09/14/15Z,50,1002,TROPICAL STORM
30.80,-88.00,09/14/18Z,30,1005,TROPICAL DEPRESSION
31.50,-87.00,09/15/00Z,20,1009,TROPICAL DEPRESSION
32.00,-86.00,09/15/06Z,20,1011,TROPICAL DEPRESSION
33.00,-85.00,09/15/12Z,20,1014,TROPICAL DEPRESSION
