LAT,LON,TIME,WIND,PR,STAT
30.80,-54.10,07/16/12Z,25,1017,TROPICAL DEPRESSION
31.70,-54.70,07/16/18Z,30,1015,TROPICAL DEPRESSION
32.50,-55.20,07/17/00Z,35,1013,TROPICAL STORM
33.40,-55.60,07/17/06Z,45,1011,TROPICAL STORM
34.40,-56.40,07/17/12Z,50,1009,TROPICAL STORM
35.30,-56.60,07/17/18Z,55,1008,TROPICAL STORM
36.20,-56.40,07/18/00Z,55,1007,TROPICAL STORM
37.10,-56.00,07/18/06Z,55,1006,TROPICAL STORM
38.10,-54.90,07/18/12Z,60,1003,TROPICAL STORM
39.20,-53.40,07/18/18Z,65,1002,HURRICANE-1
40.10,-51.70,07/19/00Z,65,1001,HURRICANE-1
41.10,-50.00,07/19/06Z,65,1000,HURRICANE-1
42.10,-47.80,07/19/12Z,65,1001,HURRICANE-1
42.70,-45.80,07/19/18Z,60,1003,TROPICAL STORM
42.70,-44.00,07/20/00Z,55,1005,TROPICAL STORM
42.50,-42.40,07/20/06Z,45,1007,TROPICAL STORM
41.90,-40.70,07/20/12Z,40,1008,TROPICAL STORM
40.90,-39.20,07/20/18Z,30,1009,TROPICAL DEPRESSION
39.80,-37.90,07/21/00Z,30,1009,TROPICAL DEPRESSION
38.80,-36.80,07/21/06Z,30,1010,LOW
37.90,-36.30,07/21/12Z,25,1011,LOW
37.10,-35.90,07/21/18Z,25,1013,LOW
36.30,-35.80,07/22/00Z,25,1015,LOW
35.70,-36.20,07/22/06Z,25,1017,LOW
35.30,-36.70,07/22/12Z,25,1018,LOW
35.10,-37.20,07/22/18Z,25,1019,LOW
35.00,-37.80,07/23/00Z,20,1020,LOW
34.90,-38.60,07/23/06Z,20,1020,LOW
35.50,-39.00,07/23/12Z,20,1020,LOW
36.00,-40.00,07/23/18Z,20,1020,LOW
36.00,-40.50,07/24/00Z,20,1021,LOW
36.60,-40.50,07/24/06Z,20,1021,LOW
36.50,-40.00,07/24/12Z,20,1021,LOW
36.40,-39.50,07/24/18Z,20,1021,LOW
36.50,-38.90,07/25/00Z,20,1022,LOW
36.30,-39.20,07/25/06Z,20,1022,LOW
36.00,-39.00,07/25/12Z,20,1022,LOW
35.50,-39.00,07/25/18Z,20,1022,LOW
34.50,-39.50,07/26/00Z,20,1023,LOW
33.80,-40.00,07/26/06Z,20,1023,LOW
33.00,-40.50,07/26/12Z,20,1023,LOW
32.00,-41.00,07/26/18Z,20,1023,LOW
31.00,-42.00,07/27/00Z,20,1024,LOW
31.00,-43.50,07/27/06Z,20,1024,LOW
