LAT,LON,TIME,WIND,PR,STAT
11.80,-37.70,09/25/18Z,30,1008,TROPICAL DEPRESSION
12.80,-38.50,09/26/00Z,30,1008,TROPICAL DEPRESSION
14.00,-39.40,09/26/06Z,30,1008,TROPICAL DEPRESSION
15.20,-40.20,09/26/12Z,30,1007,TROPICAL DEPRESSION
16.60,-41.00,09/26/18Z,30,1007,TROPICAL DEPRESSION
18.00,-41.80,09/27/00Z,30,1007,TROPICAL DEPRESSION
19.20,-43.00,09/27/06Z,30,1007,TROPICAL DEPRESSION
20.00,-43.80,09/27/12Z,30,1007,TROPICAL DEPRESSION
21.00,-44.20,09/27/18Z,35,1005,TROPICAL STORM
22.00,-44.50,09/28/00Z,45,1000,TROPICAL STORM
23.00,-44.30,09/28/06Z,50,997,TROPICAL STORM
23.90,-43.60,09/28/12Z,50,997,TROPICAL STORM
24.80,-42.60,09/28/18Z,50,997,TROPICAL STORM
26.10,-41.30,09/29/00Z,50,997,TROPICAL STORM
27.20,-39.90,09/29/06Z,55,994,TROPICAL STORM
28.30,-38.20,09/29/12Z,55,991,TROPICAL STORM
29.20,-36.80,09/29/18Z,65,987,HURRICANE-1
30.00,-35.40,09/30/00Z,65,987,HURRICANE-1
30.80,-34.80,09/30/06Z,55,992,TROPICAL STORM
31.80,-35.10,09/30/12Z,55,992,TROPICAL STORM
32.60,-36.00,09/30/18Z,50,996,TROPICAL STORM
32.50,-37.10,10/01/00Z,50,997,TROPICAL STORM
32.40,-38.30,10/01/06Z,50,997,TROPICAL STORM
32.20,-39.60,10/01/12Z,55,994,TROPICAL STORM
31.70,-40.90,10/01/18Z,65,987,HURRICANE-1
31.10,-42.10,10/02/00Z,65,987,HURRICANE-1
30.30,-43.00,10/02/06Z,75,979,HURRICANE-1
30.10,-43.60,10/02/12Z,75,979,HURRICANE-1
29.90,-44.70,10/02/18Z,80,976,HURRICANE-1
29.60,-45.80,10/03/00Z,80,976,HURRICANE-1
29.40,-46.90,10/03/06Z,90,970,HURRICANE-2
29.40,-47.80,10/03/12Z,90,970,HURRICANE-2
29.60,-49.10,10/03/18Z,100,962,HURRICANE-3
29.90,-50.30,10/04/00Z,100,962,HURRICANE-3
30.10,-51.60,10/04/06Z,100,962,HURRICANE-3
30.10,-52.80,10/04/12Z,105,956,HURRICANE-3
30.20,-54.00,10/04/18Z,110,952,HURRICANE-3
30.30,-54.70,10/05/00Z,100,962,HURRICANE-3
30.40,-55.50,10/05/06Z,95,968,HURRICANE-2
30.70,-56.10,10/05/12Z,90,973,HURRICANE-2
31.40,-56.40,10/05/18Z,85,975,HURRICANE-2
32.30,-56.20,10/06/00Z,80,977,HURRICANE-1
33.50,-56.00,10/06/06Z,80,977,HURRICANE-1
35.20,-55.60,10/06/12Z,75,979,HURRICANE-1
36.90,-55.00,10/06/18Z,70,983,HURRICANE-1
38.60,-54.00,10/07/00Z,65,987,HURRICANE-1
40.50,-52.10,10/07/06Z,60,987,TROPICAL STORM
43.80,-49.50,10/07/12Z,60,987,TROPICAL STORM
47.50,-47.20,10/07/18Z,60,980,TROPICAL STORM
52.00,-44.00,10/08/00Z,60,978,EXTRATROPICAL STORM
56.50,-40.50,10/08/06Z,65,974,EXTRATROPICAL STORM-1
59.50,-37.00,10/08/12Z,65,974,EXTRATROPICAL STORM-1
61.10,-33.40,10/08/18Z,65,970,EXTRATROPICAL STORM-1
62.10,-28.70,10/09/00Z,60,970,EXTRATROPICAL STORM
62.50,-24.00,10/09/06Z,55,972,EXTRATROPICAL STORM
62.60,-19.00,10/09/12Z,55,973,EXTRATROPICAL STORM
62.50,-12.60,10/09/18Z,50,976,EXTRATROPICAL STORM
63.00,-6.00,10/10/00Z,50,980,EXTRATROPICAL STORM
