LAT,LON,TIME,WIND,PR,STAT
19.10,-68.80,10/10/18Z,40,1004,TROPICAL STORM
20.10,-69.70,10/11/00Z,40,1002,TROPICAL STORM
20.90,-70.40,10/11/06Z,40,1003,TROPICAL STORM
21.80,-71.30,10/11/12Z,35,1007,TROPICAL STORM
22.70,-71.50,10/11/18Z,35,1007,TROPICAL STORM
23.60,-71.90,10/12/00Z,35,1006,TROPICAL STORM
24.00,-72.40,10/12/06Z,30,1007,TROPICAL DEPRESSION
24.70,-72.20,10/12/12Z,30,1008,TROPICAL DEPRESSION
25.50,-72.00,10/12/18Z,30,1008,TROPICAL DEPRESSION
25.60,-71.00,10/13/00Z,30,1008,TROPICAL DEPRESSION
25.70,-70.30,10/13/06Z,30,1008,TROPICAL DEPRESSION
25.80,-69.30,10/13/12Z,30,1008,TROPICAL DEPRESSION
25.90,-68.30,10/13/18Z,30,1007,TROPICAL DEPRESSION
25.90,-67.70,10/14/00Z,25,1008,TROPICAL DEPRESSION
