LAT,LON,TIME,WIND,PR,STAT
29.00,-65.20,08/27/18Z,25,1016,TROPICAL DEPRESSION
29.00,-65.70,08/28/00Z,25,1016,TROPICAL DEPRESSION
29.10,-66.20,08/28/06Z,25,1016,TROPICAL DEPRESSION
29.20,-66.60,08/28/12Z,30,1015,TROPICAL DEPRESSION
29.70,-67.20,08/28/18Z,30,1015,TROPICAL DEPRESSION
30.10,-68.40,08/29/00Z,30,1014,TROPICAL DEPRESSION
30.50,-69.20,08/29/06Z,30,1014,TROPICAL DEPRESSION
31.10,-69.80,08/29/12Z,35,1012,TROPICAL STORM
31.80,-70.50,08/29/18Z,40,1005,TROPICAL STORM
32.60,-71.10,08/30/00Z,40,1005,TROPICAL STORM
33.80,-71.50,08/30/06Z,50,1002,TROPICAL STORM
35.80,-71.50,08/30/12Z,45,1007,TROPICAL STORM
37.60,-71.40,08/30/18Z,45,1008,TROPICAL STORM
39.90,-71.30,08/31/00Z,35,1011,TROPICAL STORM
41.50,-70.90,08/31/06Z,35,1012,TROPICAL STORM
43.10,-70.50,08/31/12Z,25,1014,EXTRATROPICAL DEPRESSION
