LAT,LON,TIME,WIND,PR,STAT
15.90,-60.00,09/13/18Z,25,1010,TROPICAL DEPRESSION
16.00,-60.70,09/14/00Z,25,1010,TROPICAL DEPRESSION
16.20,-61.30,09/14/04Z,30,1009,TROPICAL DEPRESSION
16.30,-61.50,09/14/06Z,30,1009,TROPICAL DEPRESSION
16.40,-62.60,09/14/12Z,35,1006,TROPICAL STORM
16.70,-63.50,09/14/18Z,50,996,TROPICAL STORM
17.10,-64.00,09/15/00Z,55,996,TROPICAL STORM
17.20,-64.80,09/15/06Z,55,994,TROPICAL STORM
17.60,-65.40,09/15/12Z,60,991,TROPICAL STORM
18.00,-66.00,09/15/16Z,60,991,TROPICAL STORM
18.10,-66.20,09/15/18Z,60,991,TROPICAL STORM
18.50,-67.10,09/16/00Z,60,993,TROPICAL STORM
18.60,-67.80,09/16/06Z,60,992,TROPICAL STORM
18.60,-68.30,09/16/11Z,70,985,HURRICANE-1
18.60,-68.50,09/16/12Z,70,984,HURRICANE-1
18.80,-69.00,09/16/18Z,65,988,HURRICANE-1
19.20,-69.40,09/17/00Z,60,990,TROPICAL STORM
19.40,-69.90,09/17/06Z,55,990,TROPICAL STORM
19.70,-70.70,09/17/12Z,50,990,TROPICAL STORM
20.00,-71.60,09/17/18Z,30,1002,TROPICAL DEPRESSION
20.20,-72.00,09/18/00Z,40,1000,TROPICAL STORM
20.40,-72.50,09/18/06Z,45,1000,TROPICAL STORM
21.20,-72.80,09/18/12Z,45,1000,TROPICAL STORM
21.70,-72.30,09/18/18Z,40,1005,TROPICAL STORM
22.20,-72.20,09/19/00Z,40,1002,TROPICAL STORM
22.80,-72.30,09/19/06Z,40,1002,TROPICAL STORM
23.50,-72.50,09/19/12Z,40,1000,TROPICAL STORM
24.20,-72.30,09/19/18Z,45,996,TROPICAL STORM
24.80,-72.10,09/20/00Z,50,994,TROPICAL STORM
25.50,-72.00,09/20/06Z,55,992,TROPICAL STORM
26.60,-71.70,09/20/12Z,60,989,TROPICAL STORM
27.20,-71.40,09/20/18Z,75,984,HURRICANE-1
27.40,-70.80,09/21/00Z,75,982,HURRICANE-1
27.60,-70.20,09/21/06Z,75,972,HURRICANE-1
27.60,-69.50,09/21/12Z,75,972,HURRICANE-1
27.40,-69.20,09/21/18Z,75,972,HURRICANE-1
27.20,-68.90,09/22/00Z,80,972,HURRICANE-1
26.80,-68.70,09/22/06Z,85,968,HURRICANE-2
26.50,-68.50,09/22/12Z,85,968,HURRICANE-2
26.20,-68.80,09/22/18Z,85,967,HURRICANE-2
25.70,-69.00,09/23/00Z,85,966,HURRICANE-2
25.50,-69.30,09/23/06Z,85,966,HURRICANE-2
25.50,-69.60,09/23/12Z,80,966,HURRICANE-1
25.80,-70.00,09/23/18Z,75,966,HURRICANE-1
26.00,-70.40,09/24/00Z,70,966,HURRICANE-1
26.10,-71.20,09/24/06Z,75,969,HURRICANE-1
26.20,-72.20,09/24/12Z,80,969,HURRICANE-1
26.40,-73.10,09/24/18Z,85,968,HURRICANE-2
26.40,-74.30,09/25/00Z,85,964,HURRICANE-2
26.50,-75.60,09/25/06Z,90,960,HURRICANE-2
26.60,-76.90,09/25/12Z,100,957,HURRICANE-3
26.70,-77.30,09/25/14Z,100,956,HURRICANE-3
26.90,-78.20,09/25/18Z,105,952,HURRICANE-3
27.10,-79.40,09/26/00Z,105,951,HURRICANE-3
27.20,-80.20,09/26/04Z,105,950,HURRICANE-3
27.30,-80.60,09/26/06Z,95,953,HURRICANE-2
27.70,-81.60,09/26/12Z,75,965,HURRICANE-1
28.30,-82.30,09/26/18Z,55,970,TROPICAL STORM
29.30,-82.70,09/27/00Z,45,978,TROPICAL STORM
30.10,-83.30,09/27/06Z,40,981,TROPICAL STORM
31.10,-83.90,09/27/12Z,35,987,TROPICAL STORM
32.50,-83.60,09/27/18Z,30,993,TROPICAL DEPRESSION
33.20,-83.20,09/28/00Z,25,998,TROPICAL DEPRESSION
34.10,-82.40,09/28/06Z,20,999,TROPICAL DEPRESSION
35.40,-81.00,09/28/12Z,20,1000,TROPICAL DEPRESSION
37.30,-78.40,09/28/18Z,25,999,TROPICAL DEPRESSION
38.30,-76.40,09/29/00Z,25,999,EXTRATROPICAL DEPRESSION
38.80,-74.70,09/29/06Z,35,999,EXTRATROPICAL STORM
38.50,-72.50,09/29/12Z,35,999,EXTRATROPICAL STORM
