LAT,LON,TIME,WIND,PR,STAT
32.30,-73.30,07/18/12Z,30,1010,TROPICAL DEPRESSION
33.00,-73.30,07/18/18Z,35,1008,TROPICAL STORM
33.80,-73.50,07/19/00Z,35,1006,TROPICAL STORM
34.50,-73.70,07/19/06Z,35,1005,TROPICAL STORM
35.20,-73.60,07/19/12Z,40,1004,TROPICAL STORM
35.90,-73.50,07/19/18Z,50,1003,TROPICAL STORM
36.60,-73.20,07/20/00Z,50,1002,TROPICAL STORM
37.40,-73.20,07/20/06Z,50,1001,TROPICAL STORM
38.30,-73.00,07/20/12Z,50,1002,TROPICAL STORM
39.10,-72.50,07/20/18Z,45,1002,TROPICAL STORM
39.80,-71.80,07/21/00Z,45,1003,TROPICAL STORM
41.00,-70.50,07/21/06Z,45,1000,TROPICAL STORM
41.30,-70.10,07/21/06Z,45,1000,TROPICAL STORM
42.40,-68.40,07/21/12Z,40,1002,TROPICAL STORM
43.80,-66.30,07/21/18Z,35,1000,EXTRATROPICAL STORM
45.50,-63.30,07/22/00Z,35,1002,EXTRATROPICAL STORM
47.20,-60.00,07/22/06Z,35,1003,EXTRATROPICAL STORM
48.50,-56.50,07/22/12Z,30,1004,EXTRATROPICAL DEPRESSION
