LAT,LON,TIME,WIND,PR,STAT
20.20,-53.80,09/10/18Z,25,1012,TROPICAL DEPRESSION
20.30,-54.50,09/11/00Z,30,1011,TROPICAL DEPRESSION
20.60,-55.30,09/11/06Z,30,1010,TROPICAL DEPRESSION
20.90,-56.30,09/11/12Z,35,1008,TROPICAL STORM
21.40,-57.10,09/11/18Z,40,1005,TROPICAL STORM
21.80,-57.60,09/12/00Z,50,1003,TROPICAL STORM
22.30,-58.00,09/12/06Z,50,1000,TROPICAL STORM
22.80,-58.20,09/12/12Z,50,998,TROPICAL STORM
23.40,-58.20,09/12/18Z,55,994,TROPICAL STORM
24.00,-58.10,09/13/00Z,65,987,HURRICANE-1
24.70,-58.00,09/13/06Z,70,984,HURRICANE-1
25.60,-57.90,09/13/12Z,80,980,HURRICANE-1
26.50,-57.70,09/13/18Z,95,965,HURRICANE-2
27.30,-57.40,09/14/00Z,105,955,HURRICANE-3
28.20,-56.80,09/14/06Z,105,956,HURRICANE-3
29.10,-56.20,09/14/12Z,105,956,HURRICANE-3
29.80,-55.40,09/14/18Z,105,958,HURRICANE-3
30.30,-54.60,09/15/00Z,100,960,HURRICANE-3
30.80,-53.80,09/15/06Z,95,965,HURRICANE-2
31.10,-53.50,09/15/12Z,85,973,HURRICANE-2
31.10,-53.50,09/15/18Z,80,976,HURRICANE-1
31.10,-53.50,09/16/00Z,75,980,HURRICANE-1
31.20,-53.60,09/16/06Z,70,983,HURRICANE-1
31.30,-53.80,09/16/12Z,65,987,HURRICANE-1
31.50,-53.90,09/16/18Z,65,987,HURRICANE-1
31.90,-53.80,09/17/00Z,65,987,HURRICANE-1
32.40,-53.70,09/17/06Z,65,987,HURRICANE-1
33.30,-53.30,09/17/12Z,70,983,HURRICANE-1
34.10,-52.90,09/17/18Z,70,983,HURRICANE-1
35.00,-52.10,09/18/00Z,75,981,HURRICANE-1
36.10,-50.60,09/18/06Z,75,979,HURRICANE-1
36.90,-48.70,09/18/12Z,80,976,HURRICANE-1
37.50,-46.30,09/18/18Z,85,972,HURRICANE-2
38.00,-43.30,09/19/00Z,85,972,HURRICANE-2
38.10,-40.20,09/19/06Z,90,970,HURRICANE-2
38.00,-37.00,09/19/12Z,80,977,HURRICANE-1
37.80,-33.50,09/19/18Z,75,979,HURRICANE-1
37.70,-29.90,09/20/00Z,70,980,HURRICANE-1
37.60,-26.10,09/20/06Z,70,980,HURRICANE-1
37.80,-22.60,09/20/12Z,65,983,HURRICANE-1
38.50,-18.50,09/20/18Z,65,983,HURRICANE-1
40.10,-14.00,09/21/00Z,60,984,EXTRATROPICAL STORM
43.80,-10.40,09/21/06Z,55,986,EXTRATROPICAL STORM
48.50,-9.00,09/21/12Z,55,982,EXTRATROPICAL STORM
52.50,-9.50,09/21/18Z,55,978,EXTRATROPICAL STORM
54.50,-10.50,09/22/00Z,60,975,EXTRATROPICAL STORM
57.00,-14.00,09/22/06Z,65,974,EXTRATROPICAL STORM-1
56.50,-18.50,09/22/12Z,55,976,EXTRATROPICAL STORM
56.00,-19.50,09/22/18Z,45,980,EXTRATROPICAL STORM
54.50,-20.00,09/23/00Z,45,982,EXTRATROPICAL STORM
52.50,-20.00,09/23/06Z,40,986,EXTRATROPICAL STORM
50.70,-17.70,09/23/12Z,35,993,EXTRATROPICAL STORM
49.00,-14.50,09/23/18Z,35,994,EXTRATROPICAL STORM
48.00,-10.00,09/24/00Z,30,995,EXTRATROPICAL DEPRESSION
48.50,-8.50,09/24/06Z,30,996,EXTRATROPICAL DEPRESSION
49.00,-8.00,09/24/12Z,30,998,EXTRATROPICAL DEPRESSION
50.50,-7.50,09/24/18Z,25,1001,EXTRATROPICAL DEPRESSION
