LAT,LON,TIME,WIND,PR,STAT
18.40,-67.40,08/15/12Z,30,1011,TROPICAL DEPRESSION
18.50,-68.40,08/15/14Z,35,1009,TROPICAL STORM
18.50,-68.80,08/15/18Z,35,1009,TROPICAL STORM
18.60,-70.20,08/16/00Z,40,1008,TROPICAL STORM
18.70,-71.40,08/16/06Z,40,1008,TROPICAL STORM
18.80,-72.80,08/16/11Z,40,1007,TROPICAL STORM
18.80,-72.90,08/16/12Z,40,1007,TROPICAL STORM
19.10,-74.60,08/16/18Z,40,1007,TROPICAL STORM
19.30,-75.70,08/17/00Z,45,1005,TROPICAL STORM
19.60,-76.90,08/17/06Z,45,1004,TROPICAL STORM
19.90,-77.40,08/17/09Z,45,1004,TROPICAL STORM
20.00,-78.10,08/17/12Z,45,1003,TROPICAL STORM
20.70,-79.60,08/17/18Z,45,1006,TROPICAL STORM
21.10,-80.30,08/18/00Z,45,1001,TROPICAL STORM
21.90,-80.80,08/18/06Z,45,1003,TROPICAL STORM
22.10,-80.80,08/18/07Z,45,1003,TROPICAL STORM
23.20,-81.20,08/18/12Z,50,1002,TROPICAL STORM
24.30,-81.70,08/18/18Z,50,1000,TROPICAL STORM
24.50,-81.80,08/18/20Z,50,998,TROPICAL STORM
25.00,-81.90,08/19/00Z,50,997,TROPICAL STORM
25.50,-81.80,08/19/06Z,55,994,TROPICAL STORM
25.90,-81.60,08/19/08Z,55,991,TROPICAL STORM
26.40,-81.40,08/19/12Z,55,988,TROPICAL STORM
27.00,-81.10,08/19/18Z,60,986,TROPICAL STORM
27.50,-80.90,08/20/00Z,55,988,TROPICAL STORM
28.00,-80.60,08/20/06Z,50,992,TROPICAL STORM
28.40,-80.60,08/20/12Z,45,994,TROPICAL STORM
28.70,-80.60,08/20/18Z,45,997,TROPICAL STORM
28.90,-80.50,08/21/00Z,50,993,TROPICAL STORM
29.10,-80.70,08/21/06Z,50,993,TROPICAL STORM
29.20,-80.70,08/21/12Z,50,993,TROPICAL STORM
29.30,-81.00,08/21/18Z,55,993,TROPICAL STORM
29.30,-81.10,08/21/19Z,55,993,TROPICAL STORM
29.30,-81.20,08/22/00Z,50,994,TROPICAL STORM
29.50,-81.90,08/22/06Z,50,995,TROPICAL STORM
29.60,-82.40,08/22/12Z,45,996,TROPICAL STORM
29.80,-83.00,08/22/18Z,40,997,TROPICAL STORM
29.70,-83.80,08/23/00Z,45,996,TROPICAL STORM
29.80,-84.70,08/23/06Z,45,997,TROPICAL STORM
29.80,-84.70,08/23/06Z,45,997,TROPICAL STORM
30.00,-85.20,08/23/12Z,40,998,TROPICAL STORM
30.50,-85.90,08/23/18Z,40,999,TROPICAL STORM
30.80,-86.70,08/24/00Z,30,999,TROPICAL DEPRESSION
31.10,-87.70,08/24/06Z,30,999,TROPICAL DEPRESSION
31.80,-88.40,08/24/12Z,30,1000,TROPICAL DEPRESSION
31.50,-89.70,08/24/18Z,30,1001,TROPICAL DEPRESSION
31.30,-90.00,08/25/00Z,30,1001,TROPICAL DEPRESSION
31.50,-89.90,08/25/06Z,30,1002,TROPICAL DEPRESSION
32.00,-89.40,08/25/12Z,25,1002,TROPICAL DEPRESSION
32.40,-89.00,08/25/18Z,25,1002,TROPICAL DEPRESSION
32.70,-88.60,08/26/00Z,20,1002,TROPICAL DEPRESSION
33.30,-87.90,08/26/06Z,20,1003,TROPICAL DEPRESSION
33.90,-87.20,08/26/12Z,20,1003,TROPICAL DEPRESSION
34.60,-86.50,08/26/18Z,20,1004,TROPICAL DEPRESSION
35.00,-85.80,08/27/00Z,15,1005,TROPICAL DEPRESSION
35.50,-85.10,08/27/06Z,15,1006,EXTRATROPICAL DEPRESSION
36.10,-84.40,08/27/12Z,15,1007,EXTRATROPICAL DEPRESSION
36.90,-83.60,08/27/18Z,15,1008,EXTRATROPICAL DEPRESSION
37.40,-83.20,08/28/00Z,15,1009,EXTRATROPICAL DEPRESSION
37.70,-82.60,08/28/06Z,15,1010,EXTRATROPICAL DEPRESSION
