LAT,LON,TIME,WIND,PR,STAT
15.40,-69.00,10/13/06Z,25,1005,TROPICAL DEPRESSION
15.20,-69.60,10/13/12Z,30,1005,TROPICAL DEPRESSION
14.80,-69.80,10/13/18Z,30,1004,TROPICAL DEPRESSION
14.50,-69.60,10/14/00Z,35,1001,TROPICAL STORM
14.30,-69.30,10/14/06Z,40,997,TROPICAL STORM
14.20,-69.10,10/14/12Z,50,991,TROPICAL STORM
13.90,-68.80,10/14/18Z,60,983,TROPICAL STORM
14.10,-68.30,10/15/00Z,65,983,HURRICANE-1
14.40,-68.00,10/15/06Z,70,985,HURRICANE-1
14.90,-67.40,10/15/12Z,75,984,HURRICANE-1
15.60,-66.50,10/15/18Z,80,977,HURRICANE-1
16.70,-65.20,10/16/00Z,95,970,HURRICANE-2
18.20,-63.90,10/16/06Z,115,958,HURRICANE-4
19.60,-62.10,10/16/12Z,90,975,HURRICANE-2
21.10,-60.40,10/16/18Z,70,985,HURRICANE-1
22.80,-58.80,10/17/00Z,65,986,HURRICANE-1
25.10,-57.10,10/17/06Z,70,984,HURRICANE-1
27.90,-55.70,10/17/12Z,75,982,HURRICANE-1
30.10,-54.40,10/17/18Z,65,985,HURRICANE-1
31.30,-53.20,10/18/00Z,55,988,TROPICAL STORM
32.40,-52.10,10/18/06Z,50,991,TROPICAL STORM
33.00,-51.30,10/18/12Z,40,996,LOW
33.50,-50.50,10/18/18Z,35,1002,LOW
34.00,-49.70,10/19/00Z,30,1006,LOW
34.50,-49.00,10/19/06Z,30,1009,LOW
35.10,-48.30,10/19/12Z,25,1011,LOW
35.70,-47.50,10/19/18Z,25,1012,LOW
36.40,-46.80,10/20/00Z,25,1013,LOW
37.00,-46.20,10/20/06Z,25,1014,LOW
37.60,-45.30,10/20/12Z,25,1015,LOW
37.90,-44.30,10/20/18Z,25,1016,LOW
38.30,-43.30,10/21/00Z,25,1016,LOW
