LAT,LON,TIME,WIND,PR,STAT
16.70,-57.30,09/01/18Z,45,1007,TROPICAL STORM
16.80,-58.00,09/02/00Z,45,1004,TROPICAL STORM
16.50,-58.90,09/02/06Z,45,1005,TROPICAL STORM
16.40,-59.90,09/02/12Z,35,1008,TROPICAL STORM
16.30,-61.00,09/02/18Z,35,1008,TROPICAL STORM
16.30,-61.30,09/02/18Z,35,1008,TROPICAL STORM
16.30,-61.90,09/03/00Z,35,1009,TROPICAL STORM
16.40,-62.70,09/03/06Z,40,1008,TROPICAL STORM
16.50,-63.50,09/03/12Z,40,1008,TROPICAL STORM
16.60,-64.50,09/03/18Z,30,1008,TROPICAL DEPRESSION
16.80,-65.50,09/04/00Z,25,1009,LOW
17.00,-66.50,09/04/06Z,25,1010,LOW
