LAT,LON,TIME,WIND,PR,STAT
25.70,-83.00,08/10/06Z,25,1008,LOW
25.70,-83.30,08/10/12Z,25,1008,LOW
25.90,-83.70,08/10/18Z,30,1008,TROPICAL DEPRESSION
26.10,-84.10,08/11/00Z,30,1008,TROPICAL DEPRESSION
26.50,-85.00,08/11/06Z,30,1008,LOW
27.10,-86.10,08/11/12Z,25,1008,LOW
28.00,-87.50,08/11/18Z,25,1009,LOW
29.00,-88.40,08/12/00Z,25,1009,LOW
29.40,-88.80,08/12/06Z,25,1008,LOW
29.70,-89.00,08/12/12Z,25,1008,LOW
29.80,-89.00,08/12/18Z,25,1008,LOW
30.00,-88.90,08/13/00Z,25,1007,LOW
30.40,-88.80,08/13/06Z,25,1007,LOW
30.80,-88.60,08/13/12Z,25,1008,LOW
31.40,-88.00,08/13/18Z,25,1008,LOW
32.00,-87.30,08/14/00Z,20,1009,LOW
32.50,-86.50,08/14/06Z,15,1010,LOW
32.80,-85.90,08/14/12Z,15,1011,LOW
33.00,-85.40,08/14/18Z,15,1012,LOW
32.80,-85.00,08/15/00Z,15,1012,LOW
32.50,-84.90,08/15/06Z,15,1013,LOW
32.00,-85.00,08/15/12Z,15,1013,LOW
31.50,-85.10,08/15/18Z,20,1013,LOW
30.80,-85.30,08/16/00Z,20,1011,LOW
30.00,-85.60,08/16/06Z,20,1010,LOW
29.30,-86.00,08/16/12Z,20,1009,LOW
29.30,-86.80,08/16/18Z,25,1008,LOW
29.60,-87.70,08/17/00Z,25,1007,LOW
30.00,-88.60,08/17/06Z,25,1008,LOW
30.70,-89.40,08/17/12Z,25,1008,LOW
31.30,-90.30,08/17/18Z,20,1009,LOW
31.70,-91.00,08/18/00Z,15,1010,LOW
