LAT,LON,TIME,WIND,PR,STAT
16.30,-78.50,09/13/18Z,25,1005,LOW
16.60,-79.80,09/14/00Z,25,1004,LOW
17.00,-81.10,09/14/06Z,25,1003,LOW
17.60,-82.30,09/14/12Z,30,1003,TROPICAL DEPRESSION
18.10,-83.60,09/14/18Z,35,1001,TROPICAL STORM
18.30,-85.00,09/15/00Z,40,999,TROPICAL STORM
18.30,-86.20,09/15/06Z,55,997,TROPICAL STORM
18.50,-87.60,09/15/12Z,55,991,TROPICAL STORM
18.50,-87.80,09/15/12Z,55,991,TROPICAL STORM
18.80,-88.80,09/15/18Z,45,994,TROPICAL STORM
19.20,-90.10,09/16/00Z,40,997,TROPICAL STORM
19.40,-91.10,09/16/06Z,45,994,TROPICAL STORM
19.60,-92.20,09/16/12Z,55,986,TROPICAL STORM
19.60,-93.30,09/16/18Z,70,982,HURRICANE-1
19.70,-94.10,09/17/00Z,85,971,HURRICANE-2
19.70,-94.90,09/17/06Z,95,966,HURRICANE-2
19.60,-95.60,09/17/12Z,110,956,HURRICANE-3
19.40,-96.00,09/17/15Z,110,970,HURRICANE-3
19.30,-96.20,09/17/16Z,100,976,HURRICANE-3
19.20,-96.40,09/17/18Z,90,979,HURRICANE-2
18.70,-97.10,09/18/00Z,60,995,TROPICAL STORM
18.60,-97.40,09/18/06Z,25,1005,TROPICAL DEPRESSION
