LAT,LON,TIME,WIND,PR,STAT
15.20,-32.00,09/20/00Z,25,1008,LOW
15.50,-32.10,09/20/06Z,25,1007,LOW
15.90,-32.10,09/20/12Z,25,1007,LOW
16.30,-32.00,09/20/18Z,30,1006,TROPICAL DEPRESSION
16.80,-31.90,09/21/00Z,35,1005,TROPICAL STORM
17.30,-31.80,09/21/06Z,40,1003,TROPICAL STORM
17.70,-31.70,09/21/12Z,40,1002,TROPICAL STORM
17.80,-31.50,09/21/18Z,40,1002,TROPICAL STORM
17.60,-31.30,09/22/00Z,35,1003,TROPICAL STORM
17.30,-30.90,09/22/06Z,35,1003,TROPICAL STORM
17.30,-30.40,09/22/12Z,35,1003,TROPICAL STORM
17.40,-30.00,09/22/18Z,30,1005,TROPICAL DEPRESSION
17.50,-29.70,09/23/00Z,30,1005,TROPICAL DEPRESSION
17.50,-29.30,09/23/06Z,30,1005,TROPICAL DEPRESSION
17.50,-28.80,09/23/12Z,35,1004,TROPICAL STORM
17.60,-28.30,09/23/18Z,35,1003,TROPICAL STORM
17.90,-28.00,09/24/00Z,35,1002,TROPICAL STORM
18.30,-27.70,09/24/06Z,40,1001,TROPICAL STORM
19.00,-27.60,09/24/12Z,50,998,TROPICAL STORM
19.70,-27.70,09/24/18Z,60,993,TROPICAL STORM
20.00,-27.70,09/24/21Z,65,988,HURRICANE-1
20.40,-27.80,09/25/00Z,75,982,HURRICANE-1
21.30,-28.00,09/25/06Z,70,986,HURRICANE-1
22.30,-28.30,09/25/12Z,60,990,TROPICAL STORM
23.20,-28.60,09/25/18Z,50,996,TROPICAL STORM
24.00,-28.80,09/26/00Z,40,1002,TROPICAL STORM
24.80,-28.90,09/26/06Z,35,1004,TROPICAL STORM
25.30,-29.00,09/26/12Z,30,1006,TROPICAL DEPRESSION
25.80,-29.20,09/26/18Z,30,1007,LOW
26.30,-29.60,09/27/00Z,30,1008,LOW
26.80,-30.10,09/27/06Z,30,1009,LOW
27.40,-30.60,09/27/12Z,30,1011,LOW
28.00,-31.10,09/27/18Z,30,1013,LOW
28.60,-31.50,09/28/00Z,30,1013,LOW
29.10,-31.70,09/28/06Z,30,1015,LOW
29.50,-31.70,09/28/12Z,30,1015,LOW
29.90,-31.60,09/28/18Z,25,1016,LOW
30.20,-31.50,09/29/00Z,25,1016,LOW
