LAT,LON,TIME,WIND,PR,STAT
13.90,-81.80,10/11/00Z,30,1006,TROPICAL DEPRESSION
14.40,-82.50,10/11/06Z,35,1005,TROPICAL STORM
15.00,-83.20,10/11/12Z,45,1004,TROPICAL STORM
15.70,-83.80,10/11/18Z,60,1001,TROPICAL STORM
16.50,-84.40,10/12/00Z,65,996,HURRICANE-1
17.30,-85.00,10/12/06Z,65,991,HURRICANE-1
18.10,-85.60,10/12/12Z,75,986,HURRICANE-1
18.80,-85.90,10/12/18Z,90,981,HURRICANE-2
19.60,-86.00,10/13/00Z,90,981,HURRICANE-2
20.30,-86.00,10/13/06Z,85,984,HURRICANE-2
20.90,-85.90,10/13/12Z,85,987,HURRICANE-2
21.40,-85.80,10/13/18Z,75,990,HURRICANE-1
21.80,-85.60,10/14/00Z,75,993,HURRICANE-1
22.20,-85.20,10/14/06Z,70,995,HURRICANE-1
22.60,-84.50,10/14/12Z,60,999,TROPICAL STORM
22.70,-83.90,10/14/15Z,55,1000,TROPICAL STORM
22.80,-83.50,10/14/18Z,50,1001,TROPICAL STORM
22.90,-82.00,10/15/00Z,40,1004,TROPICAL STORM
22.90,-80.90,10/15/06Z,30,1008,TROPICAL DEPRESSION
22.90,-79.90,10/15/12Z,25,1009,LOW
23.00,-79.10,10/15/18Z,20,1009,LOW
