LAT,LON,TIME,WIND,PR,STAT
9.00,-53.70,10/29/06Z,30,1006,TROPICAL DEPRESSION
9.80,-55.30,10/29/12Z,35,1003,TROPICAL STORM
10.80,-56.80,10/29/18Z,45,998,TROPICAL STORM
11.90,-57.80,10/30/00Z,55,999,TROPICAL STORM
12.70,-58.90,10/30/06Z,60,997,TROPICAL STORM
13.00,-59.50,10/30/09Z,60,997,TROPICAL STORM
13.10,-60.10,10/30/12Z,65,993,HURRICANE-1
13.30,-61.00,10/30/18Z,80,990,HURRICANE-1
13.40,-61.20,10/30/20Z,85,987,HURRICANE-2
13.50,-61.70,10/31/00Z,85,982,HURRICANE-2
13.80,-62.40,10/31/06Z,85,983,HURRICANE-2
14.00,-63.30,10/31/12Z,80,988,HURRICANE-1
14.20,-64.40,10/31/18Z,65,994,HURRICANE-1
14.10,-65.80,11/01/00Z,55,997,TROPICAL STORM
13.90,-67.10,11/01/06Z,45,1003,TROPICAL STORM
13.60,-68.20,11/01/12Z,40,1005,TROPICAL STORM
13.50,-69.20,11/01/18Z,40,1005,TROPICAL STORM
13.50,-70.30,11/02/00Z,40,1005,TROPICAL STORM
13.50,-71.40,11/02/06Z,45,1003,TROPICAL STORM
13.50,-72.50,11/02/12Z,40,1004,TROPICAL STORM
13.60,-73.40,11/02/18Z,35,1006,TROPICAL STORM
13.80,-73.90,11/03/00Z,30,1006,TROPICAL DEPRESSION
14.00,-74.30,11/03/06Z,30,1006,TROPICAL DEPRESSION
14.30,-74.70,11/03/12Z,30,1006,TROPICAL DEPRESSION
14.70,-75.10,11/03/18Z,35,1004,TROPICAL STORM
15.10,-75.50,11/04/00Z,40,1003,TROPICAL STORM
15.50,-75.90,11/04/06Z,40,998,TROPICAL STORM
15.90,-76.20,11/04/12Z,45,996,TROPICAL STORM
16.40,-76.20,11/04/18Z,50,995,TROPICAL STORM
17.00,-75.70,11/05/00Z,60,989,TROPICAL STORM
17.70,-75.20,11/05/06Z,70,985,HURRICANE-1
18.70,-74.70,11/05/12Z,75,987,HURRICANE-1
19.70,-74.00,11/05/18Z,70,992,HURRICANE-1
20.40,-73.10,11/06/00Z,60,995,TROPICAL STORM
21.40,-71.80,11/06/06Z,60,992,TROPICAL STORM
21.70,-71.60,11/06/07Z,60,992,TROPICAL STORM
22.60,-70.90,11/06/12Z,60,990,TROPICAL STORM
23.80,-70.30,11/06/18Z,65,988,HURRICANE-1
24.90,-69.80,11/07/00Z,70,987,HURRICANE-1
25.40,-69.60,11/07/06Z,65,990,HURRICANE-1
25.70,-69.50,11/07/12Z,60,992,TROPICAL STORM
26.00,-69.30,11/07/18Z,50,992,TROPICAL STORM
26.00,-68.50,11/08/00Z,50,992,EXTRATROPICAL STORM
25.80,-67.50,11/08/06Z,50,992,EXTRATROPICAL STORM
25.60,-66.20,11/08/12Z,50,992,EXTRATROPICAL STORM
25.80,-64.50,11/08/18Z,45,993,EXTRATROPICAL STORM
26.50,-62.30,11/09/00Z,45,993,EXTRATROPICAL STORM
27.90,-60.40,11/09/06Z,45,994,EXTRATROPICAL STORM
29.40,-58.60,11/09/12Z,45,994,EXTRATROPICAL STORM
31.00,-56.90,11/09/18Z,45,994,EXTRATROPICAL STORM
33.30,-55.40,11/10/00Z,45,994,EXTRATROPICAL STORM
36.00,-54.00,11/10/06Z,45,994,EXTRATROPICAL STORM
39.00,-53.50,11/10/12Z,35,995,EXTRATROPICAL STORM
42.00,-53.50,11/10/18Z,35,995,EXTRATROPICAL STORM
