LAT,LON,TIME,WIND,PR,STAT
15.00,-59.00,08/21/00Z,45,1006,TROPICAL STORM
16.00,-60.60,08/21/06Z,45,1006,TROPICAL STORM
16.80,-62.20,08/21/12Z,45,1005,TROPICAL STORM
17.50,-63.70,08/21/18Z,50,999,TROPICAL STORM
17.80,-64.60,08/21/23Z,60,993,TROPICAL STORM
17.90,-65.00,08/22/00Z,60,993,TROPICAL STORM
18.10,-65.80,08/22/05Z,60,990,TROPICAL STORM
18.20,-65.90,08/22/06Z,65,990,HURRICANE-1
18.90,-67.00,08/22/12Z,70,989,HURRICANE-1
19.30,-68.00,08/22/18Z,75,988,HURRICANE-1
19.70,-68.80,08/23/00Z,80,981,HURRICANE-1
20.10,-69.70,08/23/06Z,80,978,HURRICANE-1
20.40,-70.60,08/23/12Z,80,978,HURRICANE-1
20.70,-71.20,08/23/18Z,80,977,HURRICANE-1
21.00,-71.90,08/24/00Z,80,969,HURRICANE-1
21.30,-72.50,08/24/06Z,95,965,HURRICANE-2
21.90,-73.30,08/24/12Z,105,957,HURRICANE-3
22.70,-74.30,08/24/18Z,100,954,HURRICANE-3
22.40,-74.00,08/24/16Z,100,955,HURRICANE-3
23.50,-75.10,08/25/00Z,95,952,HURRICANE-2
24.10,-75.90,08/25/06Z,95,950,HURRICANE-2
24.70,-76.20,08/25/09Z,90,950,HURRICANE-2
25.40,-76.60,08/25/12Z,90,950,HURRICANE-2
26.50,-77.20,08/25/18Z,90,950,HURRICANE-2
27.70,-77.30,08/26/00Z,90,946,HURRICANE-2
28.80,-77.30,08/26/06Z,90,942,HURRICANE-2
30.00,-77.40,08/26/12Z,85,947,HURRICANE-2
31.10,-77.50,08/26/18Z,80,950,HURRICANE-1
32.10,-77.10,08/27/00Z,75,952,HURRICANE-1
33.40,-76.80,08/27/06Z,75,952,HURRICANE-1
34.70,-76.60,08/27/12Z,75,952,HURRICANE-1
35.50,-76.30,08/27/18Z,65,950,HURRICANE-1
36.70,-75.70,08/28/00Z,65,951,HURRICANE-1
38.10,-75.00,08/28/06Z,65,958,HURRICANE-1
39.40,-74.40,08/28/09Z,60,959,TROPICAL STORM
40.30,-74.10,08/28/12Z,55,963,TROPICAL STORM
40.60,-74.00,08/28/13Z,55,965,TROPICAL STORM
42.50,-73.10,08/28/18Z,50,970,TROPICAL STORM
44.20,-72.10,08/29/00Z,45,979,EXTRATROPICAL STORM
46.50,-69.50,08/29/06Z,40,983,EXTRATROPICAL STORM
49.10,-66.70,08/29/12Z,40,985,EXTRATROPICAL STORM
51.30,-63.80,08/29/18Z,40,987,EXTRATROPICAL STORM
53.00,-60.00,08/30/00Z,40,991,EXTRATROPICAL STORM
