LAT,LON,TIME,WIND,PR,STAT
8.30,-17.50,09/23/00Z,20,1010,LOW
8.60,-19.10,09/23/06Z,20,1010,LOW
9.00,-20.60,09/23/12Z,25,1010,LOW
9.50,-22.00,09/23/18Z,25,1009,LOW
10.40,-23.30,09/24/00Z,30,1008,LOW
11.00,-24.70,09/24/06Z,30,1007,TROPICAL DEPRESSION
11.10,-26.10,09/24/12Z,35,1006,TROPICAL STORM
11.20,-27.30,09/24/18Z,35,1006,TROPICAL STORM
11.50,-28.40,09/25/00Z,35,1006,TROPICAL STORM
12.10,-29.40,09/25/06Z,40,1006,TROPICAL STORM
12.70,-30.30,09/25/12Z,40,1006,TROPICAL STORM
13.20,-31.20,09/25/18Z,45,1005,TROPICAL STORM
13.80,-32.10,09/26/00Z,45,1005,TROPICAL STORM
14.40,-33.00,09/26/06Z,45,1004,TROPICAL STORM
14.90,-33.60,09/26/12Z,50,1003,TROPICAL STORM
15.30,-34.10,09/26/18Z,50,1003,TROPICAL STORM
15.40,-34.40,09/27/00Z,45,1004,TROPICAL STORM
15.50,-34.70,09/27/06Z,45,1004,TROPICAL STORM
15.60,-35.20,09/27/12Z,40,1005,TROPICAL STORM
15.70,-35.80,09/27/18Z,35,1006,TROPICAL STORM
15.80,-36.60,09/28/00Z,30,1007,TROPICAL DEPRESSION
16.00,-37.40,09/28/06Z,30,1007,TROPICAL DEPRESSION
16.20,-38.40,09/28/12Z,35,1006,TROPICAL STORM
16.60,-39.40,09/28/18Z,40,1005,TROPICAL STORM
17.10,-40.50,09/29/00Z,40,1005,TROPICAL STORM
17.80,-41.50,09/29/06Z,45,1004,TROPICAL STORM
18.70,-42.30,09/29/12Z,45,1004,TROPICAL STORM
19.70,-43.00,09/29/18Z,45,1005,TROPICAL STORM
20.70,-43.60,09/30/00Z,40,1007,TROPICAL STORM
21.70,-44.20,09/30/06Z,40,1007,TROPICAL STORM
22.50,-44.80,09/30/12Z,45,1006,TROPICAL STORM
23.20,-45.60,09/30/18Z,45,1005,TROPICAL STORM
23.80,-46.30,10/01/00Z,50,1003,TROPICAL STORM
24.10,-47.00,10/01/06Z,55,999,TROPICAL STORM
24.40,-47.60,10/01/12Z,60,997,TROPICAL STORM
24.80,-48.40,10/01/18Z,60,995,TROPICAL STORM
25.20,-49.30,10/02/00Z,60,993,TROPICAL STORM
25.80,-50.30,10/02/06Z,50,998,TROPICAL STORM
26.20,-51.20,10/02/12Z,40,1004,TROPICAL STORM
26.30,-52.30,10/02/18Z,40,1004,TROPICAL STORM
26.20,-53.20,10/03/00Z,45,1004,TROPICAL STORM
25.60,-54.00,10/03/06Z,50,1001,TROPICAL STORM
24.90,-54.80,10/03/12Z,55,998,TROPICAL STORM
24.30,-55.60,10/03/18Z,60,995,TROPICAL STORM
23.80,-56.60,10/04/00Z,65,992,HURRICANE-1
23.70,-57.70,10/04/06Z,65,992,HURRICANE-1
23.80,-58.70,10/04/12Z,60,993,TROPICAL STORM
24.00,-59.60,10/04/18Z,60,994,TROPICAL STORM
24.30,-60.20,10/05/00Z,60,994,TROPICAL STORM
24.70,-60.70,10/05/06Z,60,994,TROPICAL STORM
25.20,-61.00,10/05/12Z,55,995,TROPICAL STORM
25.50,-61.10,10/05/18Z,55,995,TROPICAL STORM
25.90,-61.10,10/06/00Z,60,992,TROPICAL STORM
26.50,-61.00,10/06/06Z,65,987,HURRICANE-1
27.40,-60.40,10/06/12Z,70,983,HURRICANE-1
28.20,-59.70,10/06/18Z,80,977,HURRICANE-1
28.70,-58.80,10/07/00Z,80,976,HURRICANE-1
29.00,-57.70,10/07/06Z,80,976,HURRICANE-1
29.30,-56.50,10/07/12Z,80,977,HURRICANE-1
29.70,-55.10,10/07/18Z,70,981,HURRICANE-1
30.10,-53.50,10/08/00Z,65,986,HURRICANE-1
30.90,-51.40,10/08/06Z,60,987,TROPICAL STORM
32.30,-48.70,10/08/12Z,60,987,TROPICAL STORM
34.40,-46.00,10/08/18Z,50,987,EXTRATROPICAL STORM
37.50,-43.60,10/09/00Z,45,987,EXTRATROPICAL STORM
