LAT,LON,TIME,WIND,PR,STAT
28.80,-68.80,06/17/00Z,20,1009,LOW
29.30,-66.90,06/17/06Z,25,1008,LOW
30.40,-65.40,06/17/12Z,30,1007,LOW
31.80,-64.20,06/17/18Z,35,1004,LOW
33.40,-63.50,06/18/00Z,35,1004,LOW
35.10,-62.80,06/18/06Z,35,1004,LOW
36.70,-62.00,06/18/12Z,35,1004,LOW
38.00,-61.30,06/18/18Z,40,1004,SUBTROPICAL STORM
38.60,-60.40,06/19/00Z,40,1003,SUBTROPICAL STORM
39.10,-59.60,06/19/06Z,40,1003,SUBTROPICAL STORM
39.40,-58.70,06/19/12Z,40,1003,TROPICAL STORM
39.50,-58.00,06/19/18Z,40,1003,TROPICAL STORM
38.90,-56.70,06/20/00Z,40,1003,TROPICAL STORM
38.30,-54.70,06/20/06Z,40,1002,TROPICAL STORM
38.10,-52.50,06/20/12Z,45,1001,TROPICAL STORM
38.20,-50.20,06/20/18Z,50,999,TROPICAL STORM
38.60,-47.50,06/21/00Z,60,991,TROPICAL STORM
39.50,-45.50,06/21/06Z,70,982,HURRICANE-1
40.50,-43.90,06/21/12Z,75,974,HURRICANE-1
41.90,-42.90,06/21/18Z,70,975,HURRICANE-1
43.30,-42.80,06/22/00Z,60,978,TROPICAL STORM
44.50,-43.90,06/22/06Z,50,982,TROPICAL STORM
44.80,-45.80,06/22/12Z,45,985,EXTRATROPICAL STORM
44.20,-47.80,06/22/18Z,40,988,EXTRATROPICAL STORM
42.60,-48.40,06/23/00Z,35,989,EXTRATROPICAL STORM
40.90,-47.40,06/23/06Z,35,989,EXTRATROPICAL STORM
40.00,-45.00,06/23/12Z,35,990,EXTRATROPICAL STORM
40.50,-42.50,06/23/18Z,30,991,EXTRATROPICAL DEPRESSION
41.40,-40.20,06/24/00Z,30,991,EXTRATROPICAL DEPRESSION
42.90,-38.50,06/24/06Z,25,993,EXTRATROPICAL DEPRESSION
43.70,-38.20,06/24/12Z,20,995,EXTRATROPICAL DEPRESSION
