LAT,LON,TIME,WIND,PR,STAT
12.20,-23.10,08/03/06Z,25,1011,LOW
12.50,-24.50,08/03/12Z,30,1010,LOW
13.00,-25.90,08/03/18Z,30,1009,TROPICAL DEPRESSION
13.50,-27.30,08/04/00Z,30,1009,TROPICAL DEPRESSION
14.10,-28.60,08/04/06Z,35,1007,TROPICAL STORM
14.70,-29.90,08/04/12Z,40,1005,TROPICAL STORM
15.30,-31.20,08/04/18Z,45,1003,TROPICAL STORM
15.80,-32.50,08/05/00Z,50,1002,TROPICAL STORM
16.10,-33.80,08/05/06Z,50,1002,TROPICAL STORM
16.20,-35.00,08/05/12Z,45,1004,TROPICAL STORM
16.20,-36.20,08/05/18Z,45,1005,TROPICAL STORM
16.20,-37.30,08/06/00Z,35,1008,TROPICAL STORM
16.30,-38.40,08/06/06Z,30,1009,TROPICAL DEPRESSION
16.40,-39.60,08/06/12Z,30,1009,LOW
16.50,-40.90,08/06/18Z,30,1009,LOW
16.70,-42.50,08/07/00Z,25,1010,LOW
16.90,-44.30,08/07/06Z,25,1010,LOW
17.20,-46.30,08/07/12Z,25,1010,LOW
17.60,-48.50,08/07/18Z,25,1011,LOW
18.00,-50.70,08/08/00Z,25,1011,LOW
18.40,-52.90,08/08/06Z,25,1011,LOW
