LAT,LON,TIME,WIND,PR,STAT
13.70,-43.00,08/09/18Z,30,1010,TROPICAL DEPRESSION
13.60,-44.60,08/10/00Z,30,1009,TROPICAL DEPRESSION
13.50,-46.30,08/10/06Z,30,1008,TROPICAL DEPRESSION
13.40,-48.20,08/10/12Z,30,1009,TROPICAL DEPRESSION
13.40,-50.50,08/10/18Z,30,1009,TROPICAL DEPRESSION
13.40,-52.90,08/11/00Z,30,1009,TROPICAL DEPRESSION
13.40,-55.40,08/11/06Z,30,1009,TROPICAL DEPRESSION
13.30,-57.90,08/11/12Z,30,1011,TROPICAL WAVE
13.30,-59.90,08/11/18Z,30,1011,TROPICAL WAVE
13.50,-61.40,08/12/00Z,30,1011,TROPICAL WAVE
13.70,-63.20,08/12/06Z,30,1011,TROPICAL WAVE
13.90,-65.60,08/12/12Z,30,1011,TROPICAL WAVE
14.10,-68.00,08/12/18Z,30,1010,TROPICAL WAVE
14.10,-70.40,08/13/00Z,30,1009,TROPICAL WAVE
14.10,-72.70,08/13/06Z,30,1009,TROPICAL WAVE
14.10,-74.90,08/13/12Z,30,1008,TROPICAL WAVE
14.10,-76.60,08/13/18Z,30,1008,TROPICAL WAVE
14.10,-78.40,08/14/00Z,30,1008,TROPICAL WAVE
14.10,-80.10,08/14/06Z,30,1009,TROPICAL WAVE
14.10,-81.80,08/14/12Z,30,1009,TROPICAL WAVE
14.30,-83.60,08/14/18Z,30,1009,TROPICAL WAVE
14.70,-85.30,08/15/00Z,30,1010,TROPICAL WAVE
15.20,-87.00,08/15/06Z,30,1010,TROPICAL WAVE
15.70,-88.60,08/15/12Z,30,1011,LOW
16.50,-89.50,08/15/18Z,25,1011,LOW
17.50,-90.50,08/16/00Z,25,1011,LOW
18.50,-91.00,08/16/06Z,25,1011,LOW
19.20,-91.50,08/16/12Z,25,1011,LOW
19.30,-92.60,08/16/18Z,25,1011,LOW
19.30,-94.20,08/17/00Z,25,1011,LOW
19.70,-95.20,08/17/06Z,25,1011,LOW
19.90,-95.70,08/17/12Z,30,1009,TROPICAL DEPRESSION
20.30,-95.90,08/17/18Z,40,1004,TROPICAL STORM
20.80,-96.10,08/18/00Z,35,1006,TROPICAL STORM
21.40,-96.80,08/18/06Z,30,1007,TROPICAL DEPRESSION
21.90,-97.70,08/18/12Z,30,1008,TROPICAL DEPRESSION
22.50,-98.70,08/18/18Z,25,1009,TROPICAL DEPRESSION
22.70,-98.90,08/19/00Z,25,1009,LOW
