LAT,LON,TIME,WIND,PR,STAT
15.70,-44.80,08/20/12Z,25,1010,LOW
15.60,-46.80,08/20/18Z,30,1009,LOW
15.20,-48.50,08/21/00Z,30,1008,LOW
14.90,-50.10,08/21/06Z,30,1007,TROPICAL DEPRESSION
15.00,-51.60,08/21/12Z,30,1006,TROPICAL DEPRESSION
15.20,-53.10,08/21/18Z,35,1005,TROPICAL STORM
15.40,-54.80,08/22/00Z,40,1004,TROPICAL STORM
15.70,-56.60,08/22/06Z,45,1003,TROPICAL STORM
15.90,-58.60,08/22/12Z,45,1004,TROPICAL STORM
16.10,-60.40,08/22/18Z,45,1004,TROPICAL STORM
15.70,-62.00,08/23/00Z,45,1004,TROPICAL STORM
15.00,-63.40,08/23/06Z,45,1004,TROPICAL STORM
15.10,-65.00,08/23/12Z,45,1003,TROPICAL STORM
15.60,-66.40,08/23/18Z,45,1003,TROPICAL STORM
15.70,-67.80,08/24/00Z,45,1002,TROPICAL STORM
15.40,-69.10,08/24/06Z,45,998,TROPICAL STORM
15.70,-70.40,08/24/12Z,50,995,TROPICAL STORM
16.60,-71.20,08/24/18Z,55,993,TROPICAL STORM
17.30,-71.80,08/25/00Z,55,992,TROPICAL STORM
18.30,-72.70,08/25/06Z,55,991,TROPICAL STORM
19.60,-73.90,08/25/12Z,50,997,TROPICAL STORM
20.10,-74.50,08/25/15Z,50,997,TROPICAL STORM
20.80,-75.20,08/25/18Z,50,997,TROPICAL STORM
21.80,-76.70,08/26/00Z,50,997,TROPICAL STORM
22.70,-78.30,08/26/06Z,55,995,TROPICAL STORM
23.40,-80.00,08/26/12Z,55,995,TROPICAL STORM
23.70,-81.40,08/26/18Z,50,992,TROPICAL STORM
24.20,-82.60,08/27/00Z,50,990,TROPICAL STORM
25.00,-83.60,08/27/06Z,50,989,TROPICAL STORM
25.70,-84.70,08/27/12Z,55,987,TROPICAL STORM
26.30,-85.70,08/27/18Z,60,982,TROPICAL STORM
26.80,-86.70,08/28/00Z,60,979,TROPICAL STORM
27.40,-87.60,08/28/06Z,60,978,TROPICAL STORM
28.00,-88.30,08/28/12Z,65,975,HURRICANE-1
28.60,-88.80,08/28/18Z,70,972,HURRICANE-1
28.90,-89.40,08/29/00Z,70,967,HURRICANE-1
29.00,-89.70,08/29/03Z,70,965,HURRICANE-1
29.10,-90.00,08/29/06Z,70,966,HURRICANE-1
29.20,-90.20,08/29/08Z,70,966,HURRICANE-1
29.40,-90.50,08/29/12Z,65,968,HURRICANE-1
29.70,-90.80,08/29/18Z,60,973,TROPICAL STORM
30.10,-91.10,08/30/00Z,55,977,TROPICAL STORM
30.60,-91.50,08/30/06Z,55,982,TROPICAL STORM
31.30,-91.90,08/30/12Z,45,987,TROPICAL STORM
32.10,-92.40,08/30/18Z,35,993,TROPICAL STORM
33.10,-92.90,08/31/00Z,30,998,TROPICAL DEPRESSION
34.30,-93.50,08/31/06Z,25,1000,TROPICAL DEPRESSION
35.60,-94.00,08/31/12Z,20,1001,TROPICAL DEPRESSION
36.80,-94.10,08/31/18Z,20,1003,TROPICAL DEPRESSION
37.80,-93.90,09/01/00Z,20,1004,TROPICAL DEPRESSION
38.40,-93.30,09/01/06Z,20,1005,TROPICAL DEPRESSION
