LAT,LON,TIME,WIND,PR,STAT
10.70,-31.70,08/21/18Z,25,1011,LOW
11.10,-33.10,08/22/00Z,25,1011,LOW
11.50,-34.50,08/22/06Z,25,1011,TROPICAL DEPRESSION
12.10,-35.80,08/22/12Z,30,1009,TROPICAL DEPRESSION
12.80,-37.30,08/22/18Z,30,1009,TROPICAL DEPRESSION
13.50,-38.70,08/23/00Z,30,1009,TROPICAL DEPRESSION
14.20,-40.00,08/23/06Z,30,1009,TROPICAL DEPRESSION
14.80,-41.10,08/23/12Z,35,1007,TROPICAL STORM
15.50,-42.10,08/23/18Z,35,1006,TROPICAL STORM
16.10,-43.20,08/24/00Z,30,1008,TROPICAL DEPRESSION
16.70,-44.30,08/24/06Z,30,1008,TROPICAL DEPRESSION
17.40,-45.40,08/24/12Z,30,1009,LOW
