LAT,LON,TIME,WIND,PR,STAT
23.90,-43.40,08/28/18Z,30,1007,TROPICAL DEPRESSION
24.00,-44.50,08/29/00Z,40,1004,TROPICAL STORM
24.30,-45.50,08/29/06Z,40,1003,TROPICAL STORM
24.60,-46.30,08/29/12Z,45,1001,TROPICAL STORM
25.10,-47.10,08/29/18Z,45,999,TROPICAL STORM
25.60,-47.90,08/30/00Z,50,995,TROPICAL STORM
26.10,-48.60,08/30/06Z,55,992,TROPICAL STORM
26.80,-49.30,08/30/12Z,65,989,HURRICANE-1
27.60,-50.10,08/30/18Z,75,985,HURRICANE-1
28.50,-50.50,08/31/00Z,80,981,HURRICANE-1
29.60,-50.70,08/31/06Z,90,970,HURRICANE-2
30.60,-50.90,08/31/12Z,90,972,HURRICANE-2
31.70,-50.60,08/31/18Z,80,980,HURRICANE-1
33.10,-50.00,09/01/00Z,70,988,HURRICANE-1
34.60,-48.90,09/01/06Z,65,990,HURRICANE-1
36.50,-47.30,09/01/12Z,60,992,TROPICAL STORM
38.40,-45.40,09/01/18Z,55,996,TROPICAL STORM
40.30,-43.00,09/02/00Z,55,998,TROPICAL STORM
42.40,-40.60,09/02/06Z,50,1001,TROPICAL STORM
45.00,-38.10,09/02/12Z,50,1002,TROPICAL STORM
48.10,-34.60,09/02/18Z,45,1002,TROPICAL STORM
51.70,-30.90,09/03/00Z,45,1002,EXTRATROPICAL STORM
