LAT,LON,TIME,WIND,PR,STAT
12.90,-27.40,08/28/12Z,20,1010,LOW
13.00,-29.60,08/28/18Z,20,1010,LOW
13.10,-31.70,08/29/00Z,25,1009,LOW
13.20,-33.70,08/29/06Z,25,1009,LOW
13.30,-35.60,08/29/12Z,25,1009,LOW
13.40,-37.50,08/29/18Z,25,1008,LOW
13.50,-39.20,08/30/00Z,30,1007,TROPICAL DEPRESSION
13.60,-40.90,08/30/06Z,30,1006,TROPICAL DEPRESSION
13.80,-42.60,08/30/12Z,35,1005,TROPICAL STORM
14.20,-44.20,08/30/18Z,40,1004,TROPICAL STORM
14.70,-45.80,08/31/00Z,45,1002,TROPICAL STORM
15.30,-47.40,08/31/06Z,50,1001,TROPICAL STORM
16.00,-49.00,08/31/12Z,55,999,TROPICAL STORM
16.50,-50.60,08/31/18Z,55,999,TROPICAL STORM
17.10,-52.20,09/01/00Z,60,998,TROPICAL STORM
17.60,-53.80,09/01/06Z,60,996,TROPICAL STORM
18.10,-55.30,09/01/12Z,60,995,TROPICAL STORM
18.80,-56.80,09/01/18Z,60,994,TROPICAL STORM
19.60,-58.10,09/02/00Z,60,994,TROPICAL STORM
20.40,-59.40,09/02/06Z,55,995,TROPICAL STORM
21.20,-60.70,09/02/12Z,50,997,TROPICAL STORM
22.10,-61.40,09/02/18Z,50,997,TROPICAL STORM
22.90,-61.70,09/03/00Z,50,997,TROPICAL STORM
23.40,-62.20,09/03/06Z,50,996,TROPICAL STORM
23.50,-62.60,09/03/12Z,50,993,TROPICAL STORM
23.80,-62.80,09/03/18Z,55,990,TROPICAL STORM
24.20,-62.60,09/04/00Z,60,989,TROPICAL STORM
24.50,-62.50,09/04/06Z,60,988,TROPICAL STORM
24.80,-62.50,09/04/12Z,60,988,TROPICAL STORM
25.00,-62.60,09/04/18Z,60,988,TROPICAL STORM
25.20,-62.80,09/05/00Z,60,988,TROPICAL STORM
25.40,-62.80,09/05/06Z,65,985,HURRICANE-1
25.60,-62.80,09/05/12Z,70,982,HURRICANE-1
25.80,-62.70,09/05/18Z,70,982,HURRICANE-1
26.00,-62.60,09/06/00Z,65,984,HURRICANE-1
26.20,-62.50,09/06/06Z,65,984,HURRICANE-1
26.30,-62.40,09/06/12Z,65,983,HURRICANE-1
26.40,-62.30,09/06/18Z,65,982,HURRICANE-1
26.50,-62.20,09/07/00Z,65,982,HURRICANE-1
26.60,-62.20,09/07/06Z,65,982,HURRICANE-1
26.80,-62.20,09/07/12Z,60,981,TROPICAL STORM
27.10,-62.20,09/07/18Z,60,981,TROPICAL STORM
27.40,-62.30,09/08/00Z,60,983,TROPICAL STORM
27.80,-62.40,09/08/06Z,55,985,TROPICAL STORM
28.30,-62.50,09/08/12Z,55,987,TROPICAL STORM
29.00,-62.50,09/08/18Z,55,988,TROPICAL STORM
29.70,-62.60,09/09/00Z,55,988,TROPICAL STORM
30.50,-62.60,09/09/06Z,55,988,TROPICAL STORM
31.50,-62.50,09/09/12Z,55,988,TROPICAL STORM
32.60,-62.30,09/09/18Z,55,988,TROPICAL STORM
33.80,-62.00,09/10/00Z,55,988,TROPICAL STORM
35.10,-61.60,09/10/06Z,60,985,TROPICAL STORM
36.40,-60.80,09/10/12Z,65,980,HURRICANE-1
38.50,-59.80,09/10/18Z,65,975,HURRICANE-1
41.10,-58.60,09/11/00Z,65,970,HURRICANE-1
44.00,-57.30,09/11/06Z,65,968,HURRICANE-1
45.80,-56.10,09/11/09Z,65,968,EXTRATROPICAL STORM-1
47.70,-54.90,09/11/12Z,65,970,EXTRATROPICAL STORM-1
51.60,-51.90,09/11/18Z,60,972,EXTRATROPICAL STORM
55.50,-48.50,09/12/00Z,55,975,EXTRATROPICAL STORM
