LAT,LON,TIME,WIND,PR,STAT
12.40,-38.00,10/02/12Z,25,1008,LOW
13.60,-38.70,10/02/18Z,25,1008,LOW
15.00,-39.60,10/03/00Z,30,1007,LOW
16.30,-40.50,10/03/06Z,30,1006,TROPICAL DEPRESSION
17.40,-41.20,10/03/12Z,30,1006,TROPICAL DEPRESSION
18.20,-41.80,10/03/18Z,35,1005,TROPICAL STORM
18.90,-42.10,10/04/00Z,40,1002,TROPICAL STORM
19.50,-42.20,10/04/06Z,40,1001,TROPICAL STORM
20.20,-42.00,10/04/12Z,45,998,TROPICAL STORM
21.00,-41.50,10/04/18Z,45,996,TROPICAL STORM
21.80,-40.60,10/05/00Z,45,995,TROPICAL STORM
22.70,-39.40,10/05/06Z,45,994,TROPICAL STORM
23.50,-37.80,10/05/12Z,45,994,TROPICAL STORM
