LAT,LON,TIME,WIND,PR,STAT
14.70,-62.70,10/12/18Z,35,1006,TROPICAL STORM
15.00,-63.20,10/13/00Z,35,1007,TROPICAL STORM
15.30,-63.70,10/13/06Z,35,1006,TROPICAL STORM
15.60,-63.80,10/13/12Z,35,1006,TROPICAL STORM
16.70,-63.60,10/13/18Z,40,1004,TROPICAL STORM
17.90,-63.50,10/14/00Z,45,1004,TROPICAL STORM
18.90,-63.60,10/14/06Z,45,1003,TROPICAL STORM
19.70,-63.90,10/14/12Z,50,999,TROPICAL STORM
20.40,-64.30,10/14/18Z,55,994,TROPICAL STORM
21.30,-64.70,10/15/00Z,60,989,TROPICAL STORM
22.00,-65.20,10/15/06Z,65,986,HURRICANE-1
22.60,-65.60,10/15/12Z,70,983,HURRICANE-1
23.60,-65.80,10/15/18Z,75,979,HURRICANE-1
24.60,-65.60,10/16/00Z,80,974,HURRICANE-1
25.90,-65.30,10/16/06Z,80,972,HURRICANE-1
27.60,-64.90,10/16/12Z,80,969,HURRICANE-1
29.50,-64.20,10/16/18Z,75,970,HURRICANE-1
31.60,-63.10,10/17/00Z,75,970,HURRICANE-1
34.00,-61.70,10/17/06Z,70,972,HURRICANE-1
36.50,-60.10,10/17/12Z,65,972,HURRICANE-1
38.80,-58.00,10/17/18Z,65,972,EXTRATROPICAL STORM-1
41.30,-55.00,10/18/00Z,65,972,EXTRATROPICAL STORM-1
43.40,-50.70,10/18/06Z,60,972,EXTRATROPICAL STORM
45.20,-46.00,10/18/12Z,55,972,EXTRATROPICAL STORM
47.00,-41.00,10/18/18Z,55,973,EXTRATROPICAL STORM
49.20,-36.20,10/19/00Z,50,975,EXTRATROPICAL STORM
51.00,-32.50,10/19/06Z,50,973,EXTRATROPICAL STORM
53.00,-29.50,10/19/12Z,50,970,EXTRATROPICAL STORM
55.00,-30.00,10/19/18Z,50,968,EXTRATROPICAL STORM
56.50,-33.00,10/20/00Z,50,966,EXTRATROPICAL STORM
56.00,-37.00,10/20/06Z,50,966,EXTRATROPICAL STORM
53.10,-36.40,10/20/12Z,50,967,EXTRATROPICAL STORM
50.80,-34.30,10/20/18Z,50,970,EXTRATROPICAL STORM
49.70,-32.20,10/21/00Z,45,975,EXTRATROPICAL STORM
49.20,-31.10,10/21/06Z,40,978,EXTRATROPICAL STORM
48.20,-30.60,10/21/12Z,40,979,EXTRATROPICAL STORM
47.00,-30.80,10/21/18Z,40,982,EXTRATROPICAL STORM
45.50,-31.10,10/22/00Z,40,983,EXTRATROPICAL STORM
43.90,-29.80,10/22/06Z,40,985,EXTRATROPICAL STORM
41.90,-28.30,10/22/12Z,40,987,EXTRATROPICAL STORM
40.00,-27.00,10/22/18Z,40,989,EXTRATROPICAL STORM
39.20,-25.50,10/23/00Z,40,992,EXTRATROPICAL STORM
39.50,-24.50,10/23/06Z,40,992,EXTRATROPICAL STORM
39.80,-23.60,10/23/12Z,40,992,EXTRATROPICAL STORM
40.50,-22.10,10/23/18Z,40,992,EXTRATROPICAL STORM
41.20,-20.10,10/24/00Z,40,993,EXTRATROPICAL STORM
41.60,-18.80,10/24/06Z,40,995,EXTRATROPICAL STORM
42.10,-17.50,10/24/12Z,30,995,EXTRATROPICAL DEPRESSION
41.90,-16.00,10/24/18Z,30,995,EXTRATROPICAL DEPRESSION
41.60,-14.60,10/25/00Z,30,995,EXTRATROPICAL DEPRESSION
41.30,-13.30,10/25/06Z,30,995,EXTRATROPICAL DEPRESSION
41.00,-12.00,10/25/12Z,30,996,EXTRATROPICAL DEPRESSION
40.90,-11.20,10/25/18Z,30,997,EXTRATROPICAL DEPRESSION
40.70,-10.40,10/26/00Z,30,998,EXTRATROPICAL DEPRESSION
40.30,-9.10,10/26/06Z,30,999,EXTRATROPICAL DEPRESSION
40.00,-7.50,10/26/12Z,25,1002,EXTRATROPICAL DEPRESSION
