LAT,LON,TIME,WIND,PR,STAT
13.90,-23.30,08/15/00Z,30,1008,TROPICAL DEPRESSION
14.10,-24.60,08/15/06Z,35,1007,TROPICAL STORM
14.30,-25.90,08/15/12Z,35,1007,TROPICAL STORM
14.70,-27.20,08/15/18Z,35,1007,TROPICAL STORM
15.30,-28.60,08/16/00Z,35,1007,TROPICAL STORM
15.90,-30.00,08/16/06Z,35,1007,TROPICAL STORM
16.50,-31.40,08/16/12Z,35,1007,TROPICAL STORM
17.30,-32.70,08/16/18Z,35,1007,TROPICAL STORM
18.00,-33.80,08/17/00Z,40,1006,TROPICAL STORM
18.80,-34.70,08/17/06Z,40,1006,TROPICAL STORM
19.60,-35.50,08/17/12Z,35,1007,TROPICAL STORM
20.30,-36.20,08/17/18Z,35,1007,TROPICAL STORM
20.60,-37.20,08/18/00Z,35,1007,TROPICAL STORM
20.60,-38.00,08/18/06Z,30,1008,LOW
20.50,-38.80,08/18/12Z,30,1008,LOW
20.40,-39.60,08/18/18Z,25,1009,LOW
20.30,-40.40,08/19/00Z,25,1009,LOW
20.20,-41.20,08/19/06Z,25,1009,LOW
20.10,-42.00,08/19/12Z,20,1010,LOW
20.00,-42.80,08/19/18Z,20,1010,LOW
