LAT,LON,TIME,WIND,PR,STAT
21.50,-72.20,08/23/18Z,30,1005,TROPICAL DEPRESSION
22.00,-72.50,08/24/00Z,30,1004,TROPICAL DEPRESSION
22.60,-72.90,08/24/06Z,35,1002,TROPICAL STORM
23.30,-73.00,08/24/12Z,40,1001,TROPICAL STORM
24.00,-73.00,08/24/18Z,45,1001,TROPICAL STORM
24.20,-73.00,08/25/00Z,45,998,TROPICAL STORM
24.40,-72.90,08/25/06Z,45,996,TROPICAL STORM
24.70,-72.70,08/25/12Z,50,993,TROPICAL STORM
24.90,-72.40,08/25/18Z,50,992,TROPICAL STORM
25.10,-72.10,08/26/00Z,65,989,HURRICANE-1
25.60,-72.00,08/26/06Z,65,989,HURRICANE-1
26.70,-71.80,08/26/12Z,65,988,HURRICANE-1
28.10,-71.40,08/26/18Z,65,987,HURRICANE-1
29.50,-71.50,08/27/00Z,70,983,HURRICANE-1
30.60,-72.00,08/27/06Z,70,983,HURRICANE-1
31.60,-72.20,08/27/12Z,70,983,HURRICANE-1
32.30,-71.80,08/27/18Z,65,984,HURRICANE-1
33.50,-70.70,08/28/00Z,65,984,HURRICANE-1
34.80,-69.00,08/28/06Z,65,982,HURRICANE-1
36.30,-67.10,08/28/12Z,70,979,HURRICANE-1
37.50,-63.60,08/28/18Z,75,971,HURRICANE-1
39.10,-58.80,08/29/00Z,75,965,HURRICANE-1
41.20,-53.90,08/29/06Z,70,967,HURRICANE-1
44.20,-49.00,08/29/12Z,65,970,EXTRATROPICAL STORM-1
46.70,-45.90,08/29/18Z,65,972,EXTRATROPICAL STORM-1
48.60,-42.80,08/30/00Z,65,974,EXTRATROPICAL STORM-1
49.90,-39.50,08/30/06Z,65,974,EXTRATROPICAL STORM-1
51.30,-36.20,08/30/12Z,60,971,EXTRATROPICAL STORM
54.00,-32.00,08/30/18Z,60,971,EXTRATROPICAL STORM
58.00,-28.90,08/31/00Z,60,971,EXTRATROPICAL STORM
61.00,-27.00,08/31/06Z,60,963,EXTRATROPICAL STORM
62.00,-26.00,08/31/12Z,60,964,EXTRATROPICAL STORM
63.00,-24.50,08/31/18Z,55,968,EXTRATROPICAL STORM
64.00,-22.00,09/01/00Z,50,974,EXTRATROPICAL STORM
65.00,-19.50,09/01/06Z,50,978,EXTRATROPICAL STORM
66.00,-17.00,09/01/12Z,45,980,EXTRATROPICAL STORM
67.00,-15.40,09/01/18Z,45,982,EXTRATROPICAL STORM
68.00,-15.00,09/02/00Z,40,984,EXTRATROPICAL STORM
69.00,-15.00,09/02/06Z,35,985,EXTRATROPICAL STORM
