LAT,LON,TIME,WIND,PR,STAT
12.10,-18.40,08/30/00Z,30,1007,TROPICAL DEPRESSION
12.40,-18.90,08/30/06Z,35,1005,TROPICAL STORM
13.40,-19.90,08/30/12Z,45,1003,TROPICAL STORM
14.40,-21.30,08/30/18Z,55,998,TROPICAL STORM
15.30,-22.40,08/31/00Z,60,995,TROPICAL STORM
15.60,-22.90,08/31/06Z,70,989,HURRICANE-1
16.40,-23.70,08/31/12Z,75,986,HURRICANE-1
17.20,-24.60,08/31/18Z,70,989,HURRICANE-1
17.90,-25.20,09/01/00Z,60,995,TROPICAL STORM
18.00,-26.10,09/01/06Z,55,997,TROPICAL STORM
18.30,-27.00,09/01/12Z,45,1003,TROPICAL STORM
18.80,-28.10,09/01/18Z,45,1003,TROPICAL STORM
19.40,-29.10,09/02/00Z,45,1003,TROPICAL STORM
19.50,-30.10,09/02/06Z,40,1005,TROPICAL STORM
19.80,-30.90,09/02/12Z,40,1004,TROPICAL STORM
20.30,-31.80,09/02/18Z,35,1006,TROPICAL STORM
20.60,-32.70,09/03/00Z,35,1006,TROPICAL STORM
20.80,-33.20,09/03/06Z,40,1005,TROPICAL STORM
21.50,-34.10,09/03/12Z,35,1005,TROPICAL STORM
22.00,-35.40,09/03/18Z,35,1005,TROPICAL STORM
22.00,-36.50,09/04/00Z,35,1005,TROPICAL STORM
22.10,-37.20,09/04/06Z,35,1005,TROPICAL STORM
22.30,-38.30,09/04/12Z,30,1006,TROPICAL DEPRESSION
22.60,-39.10,09/04/18Z,30,1006,TROPICAL DEPRESSION
22.80,-40.10,09/05/00Z,35,1009,TROPICAL STORM
23.20,-41.00,09/05/06Z,35,1007,TROPICAL STORM
23.40,-41.80,09/05/12Z,35,1007,TROPICAL STORM
23.80,-42.50,09/05/18Z,30,1008,TROPICAL DEPRESSION
24.10,-43.10,09/06/00Z,30,1010,TROPICAL DEPRESSION
24.90,-43.20,09/06/06Z,30,1010,TROPICAL DEPRESSION
25.70,-43.20,09/06/12Z,30,1010,TROPICAL DEPRESSION
