LAT,LON,TIME,WIND,PR,STAT
12.60,-34.10,08/17/00Z,30,1008,TROPICAL DEPRESSION
13.20,-35.20,08/17/06Z,30,1007,TROPICAL DEPRESSION
14.00,-36.40,08/17/12Z,30,1006,TROPICAL DEPRESSION
15.10,-37.80,08/17/18Z,35,1006,TROPICAL STORM
15.50,-39.00,08/18/00Z,35,1006,TROPICAL STORM
16.20,-40.30,08/18/06Z,40,1005,TROPICAL STORM
17.00,-41.40,08/18/12Z,40,1006,TROPICAL STORM
17.00,-41.30,08/18/18Z,40,1006,TROPICAL STORM
17.10,-41.80,08/19/00Z,40,1006,TROPICAL STORM
17.60,-42.70,08/19/06Z,40,1006,TROPICAL STORM
17.80,-43.50,08/19/12Z,40,1006,TROPICAL STORM
18.10,-44.40,08/19/18Z,35,1007,TROPICAL STORM
18.70,-45.50,08/20/00Z,35,1007,TROPICAL STORM
19.20,-46.70,08/20/06Z,35,1008,TROPICAL STORM
20.30,-47.80,08/20/12Z,35,1008,TROPICAL STORM
21.20,-49.10,08/20/18Z,35,1008,TROPICAL STORM
21.70,-50.10,08/21/00Z,45,1004,TROPICAL STORM
22.20,-51.70,08/21/06Z,40,1006,TROPICAL STORM
22.90,-53.30,08/21/12Z,35,1007,TROPICAL STORM
23.40,-54.90,08/21/18Z,35,1007,TROPICAL STORM
23.80,-56.60,08/22/00Z,30,1008,TROPICAL DEPRESSION
24.40,-58.40,08/22/06Z,30,1008,TROPICAL DEPRESSION
24.60,-59.70,08/22/12Z,30,1008,TROPICAL DEPRESSION
25.10,-61.30,08/22/18Z,30,1009,TROPICAL DEPRESSION
25.50,-62.30,08/23/00Z,30,1010,TROPICAL DEPRESSION
25.80,-63.40,08/23/06Z,30,1010,TROPICAL DEPRESSION
