LAT,LON,TIME,WIND,PR,STAT
30.30,-81.60,09/14/00Z,35,1009,TROPICAL STORM
30.90,-81.80,09/14/06Z,35,1012,TROPICAL STORM
31.40,-81.30,09/14/12Z,35,1012,TROPICAL STORM
32.10,-80.50,09/14/18Z,35,1012,TROPICAL STORM
32.10,-79.80,09/15/00Z,35,1009,TROPICAL STORM
32.00,-79.60,09/15/06Z,30,1010,TROPICAL DEPRESSION
31.80,-78.20,09/15/15Z,30,1010,TROPICAL DEPRESSION
32.10,-77.10,09/15/21Z,35,1007,TROPICAL STORM
31.50,-77.10,09/16/03Z,35,1007,TROPICAL STORM
31.10,-76.40,09/16/09Z,35,1008,TROPICAL STORM
31.10,-75.60,09/16/15Z,35,1008,TROPICAL STORM
30.80,-75.70,09/16/21Z,35,1008,TROPICAL STORM
30.20,-76.30,09/17/03Z,30,1008,TROPICAL DEPRESSION
30.10,-76.40,09/17/09Z,25,1009,TROPICAL DEPRESSION
30.20,-76.20,09/17/15Z,25,1010,TROPICAL DEPRESSION
30.50,-76.30,09/17/21Z,25,1010,TROPICAL DEPRESSION
30.60,-76.50,09/18/03Z,25,1010,TROPICAL DEPRESSION
31.30,-76.70,09/18/09Z,25,1010,TROPICAL DEPRESSION
31.80,-77.10,09/18/15Z,25,1010,TROPICAL DEPRESSION
32.30,-78.00,09/18/21Z,25,1010,TROPICAL DEPRESSION
