LAT,LON,TIME,WIND,PR,STAT
25.30,-70.30,08/13/00Z,30,1011,TROPICAL DEPRESSION
26.50,-70.90,08/13/06Z,30,1011,TROPICAL DEPRESSION
27.40,-71.50,08/13/12Z,30,1011,TROPICAL DEPRESSION
28.10,-71.70,08/13/18Z,35,1011,TROPICAL STORM
28.80,-71.90,08/14/00Z,40,1009,TROPICAL STORM
29.70,-72.20,08/14/06Z,40,1009,TROPICAL STORM
30.30,-72.20,08/14/12Z,50,1002,TROPICAL STORM
30.60,-72.30,08/14/18Z,60,992,TROPICAL STORM
31.20,-72.30,08/15/00Z,65,986,HURRICANE-1
31.80,-72.50,08/15/06Z,65,986,HURRICANE-1
32.80,-72.00,08/15/12Z,65,986,HURRICANE-1
33.70,-71.20,08/15/18Z,70,981,HURRICANE-1
34.80,-70.30,08/16/00Z,75,979,HURRICANE-1
36.00,-68.40,08/16/06Z,80,975,HURRICANE-1
37.40,-65.70,08/16/12Z,80,975,HURRICANE-1
38.70,-62.40,08/16/18Z,85,970,HURRICANE-2
40.10,-58.40,08/17/00Z,90,967,HURRICANE-2
41.70,-54.00,08/17/06Z,85,968,HURRICANE-2
43.20,-50.00,08/17/12Z,70,975,HURRICANE-1
