LAT,LON,TIME,WIND,PR,STAT
12.30,-39.10,09/05/12Z,35,1008,TROPICAL STORM
12.50,-40.60,09/05/18Z,40,1006,TROPICAL STORM
12.30,-41.70,09/06/00Z,45,1004,TROPICAL STORM
12.50,-42.80,09/06/06Z,50,1002,TROPICAL STORM
13.10,-44.50,09/06/12Z,60,998,TROPICAL STORM
13.90,-45.80,09/06/18Z,65,994,HURRICANE-1
14.40,-47.50,09/07/00Z,75,989,HURRICANE-1
14.80,-49.10,09/07/06Z,80,986,HURRICANE-1
14.90,-50.60,09/07/12Z,80,986,HURRICANE-1
15.50,-52.40,09/07/18Z,105,966,HURRICANE-3
15.60,-53.90,09/08/00Z,105,966,HURRICANE-3
16.00,-55.30,09/08/06Z,110,957,HURRICANE-3
16.30,-57.10,09/08/12Z,130,942,HURRICANE-4
16.60,-58.30,09/08/18Z,130,940,HURRICANE-4
16.90,-59.30,09/09/11Z,135,938,HURRICANE-4
17.50,-60.30,09/09/20Z,130,940,HURRICANE-4
18.30,-61.30,09/10/01Z,125,945,HURRICANE-4
19.20,-62.40,09/09/18Z,125,945,HURRICANE-4
19.80,-63.40,09/10/00Z,115,944,HURRICANE-4
20.80,-64.50,09/10/06Z,115,944,HURRICANE-4
21.70,-65.80,09/10/12Z,115,944,HURRICANE-4
22.80,-66.90,09/10/18Z,105,956,HURRICANE-3
23.70,-68.10,09/11/00Z,100,962,HURRICANE-3
24.40,-68.60,09/11/06Z,90,968,HURRICANE-2
25.50,-69.10,09/11/12Z,90,968,HURRICANE-2
26.40,-69.20,09/11/18Z,85,973,HURRICANE-2
27.10,-69.50,09/12/00Z,75,982,HURRICANE-1
27.50,-69.00,09/12/06Z,65,987,HURRICANE-1
27.50,-68.30,09/12/12Z,65,987,HURRICANE-1
27.60,-67.40,09/12/18Z,65,987,HURRICANE-1
26.50,-66.40,09/13/00Z,65,985,HURRICANE-1
26.10,-66.00,09/13/06Z,65,985,HURRICANE-1
25.50,-65.60,09/13/12Z,65,985,HURRICANE-1
25.30,-65.60,09/13/18Z,65,988,HURRICANE-1
25.20,-66.00,09/14/00Z,70,985,HURRICANE-1
25.10,-66.50,09/14/06Z,65,986,HURRICANE-1
24.90,-66.60,09/14/12Z,60,989,TROPICAL STORM
25.20,-67.30,09/14/18Z,60,989,TROPICAL STORM
25.50,-68.00,09/15/00Z,60,989,TROPICAL STORM
25.90,-68.70,09/15/06Z,60,989,TROPICAL STORM
26.50,-69.40,09/15/12Z,60,989,TROPICAL STORM
27.10,-70.30,09/15/18Z,65,983,HURRICANE-1
27.40,-71.00,09/16/00Z,70,983,HURRICANE-1
27.90,-71.80,09/16/06Z,70,983,HURRICANE-1
28.80,-72.20,09/16/12Z,70,982,HURRICANE-1
28.90,-71.90,09/16/18Z,70,973,HURRICANE-1
29.20,-71.80,09/17/00Z,70,973,HURRICANE-1
30.00,-71.70,09/17/06Z,70,973,HURRICANE-1
31.00,-71.90,09/17/12Z,80,967,HURRICANE-1
31.50,-71.80,09/17/18Z,80,967,HURRICANE-1
32.20,-71.60,09/18/00Z,80,972,HURRICANE-1
33.00,-71.40,09/18/06Z,75,974,HURRICANE-1
33.90,-71.10,09/18/12Z,65,977,HURRICANE-1
34.80,-71.10,09/18/18Z,65,977,HURRICANE-1
35.20,-71.30,09/19/00Z,65,975,HURRICANE-1
36.00,-71.30,09/19/06Z,65,971,HURRICANE-1
36.50,-71.70,09/19/12Z,65,976,HURRICANE-1
37.20,-71.30,09/19/18Z,65,976,HURRICANE-1
37.90,-70.80,09/20/00Z,60,973,TROPICAL STORM
38.40,-70.30,09/20/06Z,55,975,TROPICAL STORM
39.00,-70.00,09/20/12Z,60,976,TROPICAL STORM
39.20,-69.10,09/21/00Z,60,976,TROPICAL STORM
39.50,-68.20,09/21/00Z,50,982,TROPICAL STORM
39.80,-67.80,09/21/06Z,50,982,TROPICAL STORM
39.60,-68.20,09/21/12Z,50,984,TROPICAL STORM
39.60,-67.90,09/21/18Z,45,987,TROPICAL STORM
