LAT,LON,TIME,WIND,PR,STAT
10.70,-25.40,09/15/00Z,30,1010,TROPICAL DEPRESSION
10.60,-27.30,09/15/06Z,30,1008,TROPICAL DEPRESSION
11.40,-28.30,09/15/12Z,30,1008,TROPICAL DEPRESSION
12.60,-29.70,09/15/18Z,30,1009,TROPICAL DEPRESSION
12.80,-30.70,09/16/00Z,30,1009,TROPICAL DEPRESSION
12.60,-32.10,09/16/06Z,30,1008,TROPICAL DEPRESSION
12.50,-33.10,09/16/12Z,35,1007,TROPICAL STORM
12.60,-34.20,09/16/18Z,35,1007,TROPICAL STORM
12.80,-34.90,09/17/00Z,35,1007,TROPICAL STORM
13.00,-35.40,09/17/06Z,35,1007,TROPICAL STORM
13.00,-36.70,09/17/12Z,30,1007,TROPICAL DEPRESSION
13.20,-37.30,09/17/18Z,30,1007,TROPICAL DEPRESSION
13.60,-38.50,09/18/00Z,30,1007,TROPICAL DEPRESSION
14.10,-39.80,09/18/06Z,30,1007,TROPICAL DEPRESSION
14.10,-40.60,09/18/12Z,30,1007,TROPICAL DEPRESSION
15.00,-40.60,09/18/18Z,30,1007,TROPICAL DEPRESSION
15.10,-43.00,09/19/00Z,25,1007,TROPICAL DEPRESSION
30.80,-48.90,09/22/18Z,30,1014,TROPICAL DEPRESSION
31.50,-49.00,09/23/00Z,35,1009,TROPICAL STORM
31.90,-49.20,09/23/06Z,35,1009,TROPICAL STORM
31.90,-49.40,09/23/12Z,40,1007,TROPICAL STORM
32.10,-49.80,09/23/18Z,40,1007,TROPICAL STORM
31.90,-50.10,09/24/00Z,45,1003,TROPICAL STORM
31.90,-50.10,09/24/06Z,65,987,HURRICANE-1
31.80,-50.10,09/24/06Z,75,983,HURRICANE-1
31.40,-49.90,09/24/12Z,80,982,HURRICANE-1
31.30,-49.70,09/24/18Z,80,980,HURRICANE-1
31.10,-49.50,09/25/00Z,80,980,HURRICANE-1
31.10,-49.40,09/25/06Z,80,980,HURRICANE-1
30.80,-49.90,09/25/12Z,80,980,HURRICANE-1
30.50,-50.60,09/25/18Z,75,983,HURRICANE-1
30.20,-51.50,09/26/00Z,80,979,HURRICANE-1
30.00,-52.50,09/26/06Z,85,977,HURRICANE-2
29.90,-53.70,09/26/12Z,90,975,HURRICANE-2
29.90,-54.60,09/26/18Z,95,971,HURRICANE-2
30.00,-55.50,09/27/00Z,95,971,HURRICANE-2
30.20,-56.30,09/27/06Z,95,971,HURRICANE-2
30.60,-56.80,09/27/12Z,100,963,HURRICANE-3
31.20,-57.10,09/27/18Z,100,962,HURRICANE-3
31.70,-57.30,09/28/00Z,95,966,HURRICANE-2
32.50,-57.20,09/28/06Z,95,966,HURRICANE-2
33.70,-57.00,09/28/12Z,85,973,HURRICANE-2
35.10,-55.80,09/28/18Z,80,977,HURRICANE-1
36.30,-54.60,09/29/00Z,70,984,HURRICANE-1
38.30,-52.40,09/29/06Z,65,987,HURRICANE-1
40.10,-49.50,09/29/12Z,60,992,TROPICAL STORM
42.20,-46.00,09/29/18Z,55,996,TROPICAL STORM
