LAT,LON,TIME,WIND,PR,STAT
31.10,-39.90,10/09/06Z,30,1008,TROPICAL DEPRESSION
31.40,-39.90,10/09/12Z,35,1008,TROPICAL STORM
31.50,-39.60,10/09/18Z,40,1005,TROPICAL STORM
32.30,-39.00,10/10/00Z,45,1002,TROPICAL STORM
31.90,-38.80,10/10/06Z,45,1002,TROPICAL STORM
31.50,-38.30,10/10/12Z,45,1002,TROPICAL STORM
31.10,-38.00,10/10/18Z,50,1001,TROPICAL STORM
30.70,-37.60,10/11/00Z,45,1002,TROPICAL STORM
30.20,-37.00,10/11/06Z,55,996,TROPICAL STORM
30.00,-36.50,10/11/12Z,60,992,TROPICAL STORM
30.00,-36.10,10/11/18Z,65,990,HURRICANE-1
30.00,-35.70,10/12/00Z,75,986,HURRICANE-1
30.30,-35.60,10/12/06Z,75,986,HURRICANE-1
30.50,-35.60,10/12/12Z,80,978,HURRICANE-1
30.40,-35.50,10/12/18Z,85,973,HURRICANE-2
30.70,-34.70,10/13/00Z,90,970,HURRICANE-2
31.10,-33.90,10/13/06Z,90,970,HURRICANE-2
31.80,-32.90,10/13/12Z,85,971,HURRICANE-2
32.30,-31.80,10/13/18Z,85,971,HURRICANE-2
33.00,-30.60,10/14/00Z,85,971,HURRICANE-2
33.90,-28.60,10/14/06Z,85,971,HURRICANE-2
34.80,-26.60,10/14/12Z,100,960,HURRICANE-3
35.90,-23.70,10/14/18Z,100,960,HURRICANE-3
37.30,-21.50,10/15/00Z,100,960,HURRICANE-3
39.00,-18.30,10/15/06Z,90,964,HURRICANE-2
41.60,-16.00,10/16/00Z,80,973,HURRICANE-1
44.60,-13.30,10/15/18Z,75,971,HURRICANE-1
