LAT,LON,TIME,WIND,PR,STAT
14.50,-144.50,08/12/00Z,25,-,TROPICAL DEPRESSION
14.90,-144.80,08/12/06Z,25,-,TROPICAL DEPRESSION
15.20,-145.20,08/12/12Z,25,-,TROPICAL DEPRESSION
15.50,-145.60,08/12/18Z,25,-,TROPICAL DEPRESSION
15.70,-145.80,08/13/00Z,25,-,TROPICAL DEPRESSION
15.90,-146.30,08/13/06Z,45,-,TROPICAL STORM
16.30,-146.90,08/13/12Z,45,-,TROPICAL STORM
16.60,-147.60,08/13/18Z,45,-,TROPICAL STORM
16.80,-148.10,08/14/00Z,45,-,TROPICAL STORM
17.50,-149.10,08/14/06Z,45,-,TROPICAL STORM
18.30,-150.10,08/14/12Z,45,-,TROPICAL STORM
19.30,-151.30,08/14/18Z,45,-,TROPICAL STORM
20.10,-152.40,08/15/00Z,45,-,TROPICAL STORM
20.70,-153.40,08/15/06Z,45,-,TROPICAL STORM
21.40,-154.40,08/15/12Z,45,-,TROPICAL STORM
22.30,-155.60,08/15/18Z,45,-,TROPICAL STORM
23.00,-156.60,08/16/00Z,75,-,HURRICANE-1
23.70,-157.50,08/16/06Z,75,-,HURRICANE-1
24.30,-158.40,08/16/12Z,75,-,HURRICANE-1
24.70,-159.60,08/16/18Z,75,-,HURRICANE-1
24.70,-160.80,08/17/00Z,75,-,HURRICANE-1
24.50,-161.60,08/17/06Z,75,-,HURRICANE-1
24.00,-162.40,08/17/12Z,75,-,HURRICANE-1
23.60,-163.10,08/17/18Z,75,-,HURRICANE-1
23.30,-163.80,08/18/00Z,75,-,HURRICANE-1
22.80,-164.70,08/18/06Z,75,-,HURRICANE-1
22.60,-165.60,08/18/12Z,75,-,HURRICANE-1
22.50,-166.50,08/18/18Z,75,-,HURRICANE-1
22.50,-167.40,08/19/00Z,75,-,HURRICANE-1
22.60,-168.70,08/19/06Z,75,-,HURRICANE-1
22.70,-169.70,08/19/12Z,75,-,HURRICANE-1
23.20,-170.40,08/19/18Z,45,-,TROPICAL STORM
23.60,-171.50,08/20/00Z,45,-,TROPICAL STORM
24.10,-172.40,08/20/06Z,45,-,TROPICAL STORM
24.70,-173.70,08/20/12Z,45,-,TROPICAL STORM
25.30,-174.30,08/20/18Z,45,-,TROPICAL STORM
26.00,-175.70,08/21/00Z,45,-,TROPICAL STORM
26.70,-176.90,08/21/06Z,45,-,TROPICAL STORM
27.40,-178.00,08/21/12Z,25,-,TROPICAL DEPRESSION
