LAT,LON,TIME,WIND,PR,STAT
15.00,-149.60,09/01/00Z,25,-,TROPICAL DEPRESSION
15.00,-150.50,09/01/06Z,45,-,TROPICAL STORM
15.10,-151.60,09/01/12Z,45,-,TROPICAL STORM
15.20,-152.60,09/01/18Z,45,-,TROPICAL STORM
15.30,-153.50,09/02/00Z,45,-,TROPICAL STORM
15.70,-154.70,09/02/06Z,45,-,TROPICAL STORM
16.20,-155.80,09/02/12Z,45,-,TROPICAL STORM
17.00,-157.00,09/02/18Z,45,-,TROPICAL STORM
17.70,-157.80,09/03/00Z,45,-,TROPICAL STORM
18.70,-159.10,09/03/06Z,45,-,TROPICAL STORM
19.70,-160.30,09/03/12Z,45,-,TROPICAL STORM
20.70,-161.70,09/03/18Z,45,-,TROPICAL STORM
21.70,-162.90,09/04/00Z,75,-,HURRICANE-1
22.00,-164.40,09/04/06Z,75,-,HURRICANE-1
23.00,-165.40,09/04/12Z,75,-,HURRICANE-1
23.80,-166.50,09/04/18Z,75,-,HURRICANE-1
24.40,-167.80,09/05/00Z,75,-,HURRICANE-1
24.60,-168.50,09/05/06Z,75,-,HURRICANE-1
25.00,-169.60,09/05/12Z,75,-,HURRICANE-1
25.00,-170.50,09/05/18Z,75,-,HURRICANE-1
25.00,-171.50,09/06/00Z,75,-,HURRICANE-1
25.10,-172.20,09/06/06Z,75,-,HURRICANE-1
25.30,-172.70,09/06/12Z,75,-,HURRICANE-1
25.40,-173.30,09/06/18Z,75,-,HURRICANE-1
25.30,-173.90,09/07/00Z,75,-,HURRICANE-1
25.00,-174.50,09/07/06Z,75,-,HURRICANE-1
24.70,-174.90,09/07/12Z,75,-,HURRICANE-1
24.30,-175.40,09/07/18Z,75,-,HURRICANE-1
23.70,-175.80,09/08/00Z,75,-,HURRICANE-1
23.00,-176.20,09/08/06Z,75,-,HURRICANE-1
22.30,-176.70,09/08/12Z,75,-,HURRICANE-1
21.60,-177.50,09/08/18Z,75,-,HURRICANE-1
21.00,-178.30,09/09/00Z,75,-,HURRICANE-1
20.50,-179.20,09/09/06Z,75,-,HURRICANE-1
20.10,179.90,09/09/12Z,75,-,HURRICANE-1
19.70,179.00,09/09/18Z,80,-,HURRICANE-1
19.40,178.20,09/10/00Z,85,-,HURRICANE-2
19.40,176.90,09/10/06Z,93,-,HURRICANE-2
19.70,175.60,09/10/12Z,100,-,HURRICANE-3
20.20,174.50,09/10/18Z,100,-,HURRICANE-3
20.80,173.50,09/11/00Z,100,-,HURRICANE-3
21.40,172.10,09/11/06Z,100,-,HURRICANE-3
22.00,170.80,09/11/12Z,100,-,HURRICANE-3
22.70,169.40,09/11/18Z,100,-,HURRICANE-3
23.30,168.00,09/12/00Z,100,-,HURRICANE-3
23.80,166.50,09/12/06Z,100,-,HURRICANE-3
24.20,165.00,09/12/12Z,100,-,HURRICANE-3
24.80,163.50,09/12/18Z,110,-,HURRICANE-3
