LAT,LON,TIME,WIND,PR,STAT
11.90,-108.20,07/15/00Z,75,-,HURRICANE-1
11.80,-109.60,07/15/06Z,75,-,HURRICANE-1
11.80,-110.70,07/15/12Z,75,-,HURRICANE-1
11.80,-111.60,07/15/18Z,75,-,HURRICANE-1
11.70,-112.50,07/16/00Z,75,-,HURRICANE-1
11.60,-113.30,07/16/06Z,75,-,HURRICANE-1
11.50,-114.00,07/16/12Z,75,-,HURRICANE-1
11.40,-115.00,07/16/18Z,75,-,HURRICANE-1
11.40,-116.00,07/17/00Z,75,-,HURRICANE-1
11.50,-116.90,07/17/06Z,75,-,HURRICANE-1
11.60,-117.80,07/17/12Z,75,-,HURRICANE-1
11.70,-118.50,07/17/18Z,75,-,HURRICANE-1
11.90,-119.20,07/18/00Z,75,-,HURRICANE-1
12.00,-120.00,07/18/06Z,75,-,HURRICANE-1
12.20,-120.80,07/18/12Z,75,-,HURRICANE-1
12.50,-121.70,07/18/18Z,75,-,HURRICANE-1
12.90,-122.60,07/19/00Z,75,-,HURRICANE-1
13.10,-123.60,07/19/06Z,75,-,HURRICANE-1
13.40,-124.50,07/19/12Z,75,-,HURRICANE-1
13.70,-125.40,07/19/18Z,75,-,HURRICANE-1
14.10,-126.40,07/20/00Z,75,-,HURRICANE-1
14.50,-127.20,07/20/06Z,75,-,HURRICANE-1
14.90,-128.00,07/20/12Z,75,-,HURRICANE-1
15.30,-128.80,07/20/18Z,75,-,HURRICANE-1
15.70,-129.70,07/21/00Z,75,-,HURRICANE-1
16.10,-131.10,07/21/06Z,75,-,HURRICANE-1
16.40,-132.60,07/21/12Z,75,-,HURRICANE-1
16.80,-133.60,07/21/18Z,75,-,HURRICANE-1
17.10,-134.70,07/22/00Z,75,-,HURRICANE-1
17.30,-135.90,07/22/06Z,75,-,HURRICANE-1
17.50,-137.10,07/22/12Z,75,-,HURRICANE-1
17.70,-138.20,07/22/18Z,75,-,HURRICANE-1
17.80,-139.30,07/23/00Z,75,-,HURRICANE-1
17.90,-140.50,07/23/06Z,75,-,HURRICANE-1
18.00,-141.80,07/23/12Z,75,-,HURRICANE-1
18.30,-142.90,07/23/18Z,75,-,HURRICANE-1
18.60,-144.00,07/24/00Z,75,-,HURRICANE-1
18.70,-144.80,07/24/06Z,75,-,HURRICANE-1
18.80,-145.60,07/24/12Z,75,-,HURRICANE-1
18.90,-146.20,07/24/18Z,75,-,HURRICANE-1
19.10,-146.90,07/25/00Z,75,-,HURRICANE-1
19.30,-148.40,07/25/06Z,75,-,HURRICANE-1
19.40,-149.90,07/25/12Z,75,-,HURRICANE-1
19.50,-151.80,07/25/18Z,75,-,HURRICANE-1
19.70,-154.00,07/26/00Z,75,-,HURRICANE-1
