LAT,LON,TIME,WIND,PR,STAT
13.90,-102.60,06/22/00Z,45,-,TROPICAL STORM
14.30,-103.20,06/22/06Z,45,-,TROPICAL STORM
14.70,-103.90,06/22/12Z,45,-,TROPICAL STORM
15.00,-104.60,06/22/18Z,45,-,TROPICAL STORM
15.40,-105.20,06/23/00Z,45,-,TROPICAL STORM
16.00,-105.80,06/23/06Z,45,-,TROPICAL STORM
16.80,-106.30,06/23/12Z,45,-,TROPICAL STORM
17.40,-106.70,06/23/18Z,45,-,TROPICAL STORM
18.00,-107.00,06/24/00Z,45,-,TROPICAL STORM
18.70,-107.00,06/24/06Z,45,-,TROPICAL STORM
19.40,-107.00,06/24/12Z,45,-,TROPICAL STORM
19.80,-107.20,06/24/18Z,45,-,TROPICAL STORM
20.20,-107.50,06/25/00Z,45,-,TROPICAL STORM
20.50,-107.80,06/25/06Z,45,-,TROPICAL STORM
20.70,-108.20,06/25/12Z,45,-,TROPICAL STORM
20.80,-108.90,06/25/18Z,45,-,TROPICAL STORM
20.80,-109.70,06/26/00Z,45,-,TROPICAL STORM
