LAT,LON,TIME,WIND,PR,STAT
15.90,-103.30,07/20/00Z,75,-,HURRICANE-1
16.20,-104.10,07/20/06Z,75,-,HURRICANE-1
16.60,-104.90,07/20/12Z,75,-,HURRICANE-1
17.10,-105.50,07/20/18Z,75,-,HURRICANE-1
17.60,-106.20,07/21/00Z,75,-,HURRICANE-1
18.60,-107.90,07/21/06Z,75,-,HURRICANE-1
19.50,-109.60,07/21/12Z,75,-,HURRICANE-1
20.20,-110.80,07/21/18Z,75,-,HURRICANE-1
20.90,-112.10,07/22/00Z,75,-,HURRICANE-1
21.40,-113.30,07/22/06Z,75,-,HURRICANE-1
21.80,-114.60,07/22/12Z,50,-,TROPICAL STORM
22.20,-116.00,07/22/18Z,50,-,TROPICAL STORM
