LAT,LON,TIME,WIND,PR,STAT
15.00,-113.00,08/16/12Z,45,-,TROPICAL STORM
15.40,-113.70,08/16/18Z,45,-,TROPICAL STORM
15.80,-114.30,08/17/00Z,45,-,TROPICAL STORM
16.10,-114.80,08/17/06Z,45,-,TROPICAL STORM
16.50,-115.30,08/17/12Z,45,-,TROPICAL STORM
17.00,-116.10,08/17/18Z,45,-,TROPICAL STORM
17.50,-116.80,08/18/00Z,45,-,TROPICAL STORM
18.10,-117.20,08/18/06Z,45,-,TROPICAL STORM
18.70,-117.50,08/18/12Z,45,-,TROPICAL STORM
19.30,-117.80,08/18/18Z,45,-,TROPICAL STORM
20.00,-118.20,08/19/00Z,45,-,TROPICAL STORM
20.80,-118.40,08/19/06Z,45,-,TROPICAL STORM
21.60,-118.60,08/19/12Z,45,-,TROPICAL STORM
22.30,-118.80,08/19/18Z,45,-,TROPICAL STORM
22.90,-119.00,08/20/00Z,45,-,TROPICAL STORM
