LAT,LON,TIME,WIND,PR,STAT
19.70,-110.60,07/08/00Z,45,-,TROPICAL STORM
20.00,-111.90,07/08/06Z,45,-,TROPICAL STORM
20.20,-113.20,07/08/12Z,45,-,TROPICAL STORM
20.40,-114.50,07/08/18Z,45,-,TROPICAL STORM
20.60,-115.70,07/09/00Z,45,-,TROPICAL STORM
20.80,-116.80,07/09/06Z,45,-,TROPICAL STORM
20.90,-117.80,07/09/12Z,45,-,TROPICAL STORM
21.00,-118.80,07/09/18Z,45,-,TROPICAL STORM
21.00,-119.80,07/10/00Z,45,-,TROPICAL STORM
21.00,-120.80,07/10/06Z,45,-,TROPICAL STORM
21.00,-121.80,07/10/12Z,45,-,TROPICAL STORM
