LAT,LON,TIME,WIND,PR,STAT
15.10,-112.00,07/15/00Z,75,-,HURRICANE-1
15.20,-112.80,07/15/06Z,75,-,HURRICANE-1
15.30,-113.60,07/15/12Z,75,-,HURRICANE-1
15.60,-114.50,07/15/18Z,75,-,HURRICANE-1
15.90,-115.30,07/16/00Z,75,-,HURRICANE-1
16.00,-116.30,07/16/06Z,75,-,HURRICANE-1
16.20,-117.40,07/16/12Z,75,-,HURRICANE-1
16.50,-118.50,07/16/18Z,75,-,HURRICANE-1
16.80,-119.70,07/17/00Z,75,-,HURRICANE-1
17.10,-121.00,07/17/06Z,75,-,HURRICANE-1
17.40,-122.20,07/17/12Z,75,-,HURRICANE-1
17.90,-123.40,07/17/18Z,75,-,HURRICANE-1
18.60,-124.60,07/18/00Z,75,-,HURRICANE-1
19.30,-125.50,07/18/06Z,75,-,HURRICANE-1
20.00,-126.40,07/18/12Z,75,-,HURRICANE-1
20.50,-127.50,07/18/18Z,75,-,HURRICANE-1
20.80,-128.70,07/19/00Z,75,-,HURRICANE-1
20.90,-129.80,07/19/06Z,75,-,HURRICANE-1
20.70,-131.00,07/19/12Z,75,-,HURRICANE-1
