LAT,LON,TIME,WIND,PR,STAT
19.00,-109.80,09/24/00Z,25,-,TROPICAL DEPRESSION
19.30,-110.00,09/24/06Z,25,-,TROPICAL DEPRESSION
19.70,-110.10,09/24/12Z,25,-,TROPICAL DEPRESSION
20.10,-110.10,09/24/18Z,45,-,TROPICAL STORM
20.60,-110.00,09/25/00Z,45,-,TROPICAL STORM
21.30,-109.70,09/25/06Z,45,-,TROPICAL STORM
21.90,-109.20,09/25/12Z,45,-,TROPICAL STORM
22.30,-108.60,09/25/18Z,45,-,TROPICAL STORM
22.50,-108.00,09/26/00Z,45,-,TROPICAL STORM
22.70,-107.40,09/26/06Z,45,-,TROPICAL STORM
22.90,-106.80,09/26/12Z,45,-,TROPICAL STORM
23.10,-106.10,09/26/18Z,45,-,XXX
23.40,-105.20,09/27/00Z,45,-,XXX
