LAT,LON,TIME,WIND,PR,STAT
16.20,-111.20,08/23/00Z,25,-,TROPICAL DEPRESSION
16.70,-112.00,08/23/06Z,25,-,TROPICAL DEPRESSION
17.10,-112.90,08/23/12Z,25,-,TROPICAL DEPRESSION
17.50,-113.80,08/23/18Z,25,-,TROPICAL DEPRESSION
17.90,-114.80,08/24/00Z,25,-,TROPICAL DEPRESSION
18.20,-115.70,08/24/06Z,45,-,TROPICAL STORM
18.50,-116.60,08/24/12Z,45,-,TROPICAL STORM
18.80,-117.30,08/24/18Z,45,-,TROPICAL STORM
19.00,-118.00,08/25/00Z,45,-,TROPICAL STORM
19.30,-119.10,08/25/06Z,45,-,TROPICAL STORM
19.50,-120.30,08/25/12Z,45,-,TROPICAL STORM
19.70,-121.20,08/25/18Z,45,-,TROPICAL STORM
19.90,-122.20,08/26/00Z,45,-,TROPICAL STORM
20.10,-123.10,08/26/06Z,75,-,HURRICANE-1
20.30,-124.10,08/26/12Z,75,-,HURRICANE-1
20.50,-124.80,08/26/18Z,75,-,HURRICANE-1
20.70,-125.40,08/27/00Z,75,-,HURRICANE-1
21.00,-126.40,08/27/06Z,75,-,HURRICANE-1
21.20,-127.40,08/27/12Z,75,-,HURRICANE-1
21.60,-128.20,08/27/18Z,45,-,TROPICAL STORM
22.10,-129.00,08/28/00Z,45,-,TROPICAL STORM
23.00,-129.60,08/28/06Z,45,-,TROPICAL STORM
24.00,-129.80,08/28/12Z,45,-,TROPICAL STORM
24.90,-129.60,08/28/18Z,45,-,TROPICAL STORM
25.60,-129.00,08/29/00Z,25,-,TROPICAL DEPRESSION
