LAT,LON,TIME,WIND,PR,STAT
14.40,-105.20,09/09/12Z,25,-,TROPICAL DEPRESSION
14.30,-106.30,09/09/18Z,45,-,TROPICAL STORM
14.40,-107.30,09/10/00Z,45,-,TROPICAL STORM
14.70,-108.10,09/10/06Z,45,-,TROPICAL STORM
15.00,-108.80,09/10/12Z,45,-,TROPICAL STORM
15.40,-109.50,09/10/18Z,45,-,TROPICAL STORM
15.80,-110.20,09/11/00Z,45,-,TROPICAL STORM
16.00,-111.00,09/11/06Z,45,-,TROPICAL STORM
16.20,-111.90,09/11/12Z,45,-,TROPICAL STORM
16.90,-112.90,09/11/18Z,45,-,TROPICAL STORM
17.70,-113.90,09/12/00Z,45,-,TROPICAL STORM
18.30,-114.60,09/12/06Z,45,-,TROPICAL STORM
19.00,-115.30,09/12/12Z,45,-,TROPICAL STORM
19.80,-115.80,09/12/18Z,75,-,HURRICANE-1
20.60,-116.10,09/13/00Z,75,-,HURRICANE-1
21.50,-116.30,09/13/06Z,75,-,HURRICANE-1
22.50,-116.30,09/13/12Z,75,-,HURRICANE-1
23.30,-116.30,09/13/18Z,75,-,HURRICANE-1
24.10,-116.20,09/14/00Z,75,-,HURRICANE-1
24.60,-116.10,09/14/06Z,45,-,TROPICAL STORM
25.00,-115.90,09/14/12Z,45,-,TROPICAL STORM
25.60,-115.50,09/14/18Z,45,-,TROPICAL STORM
26.10,-114.90,09/15/00Z,45,-,TROPICAL STORM
26.40,-114.00,09/15/06Z,45,-,TROPICAL STORM
26.70,-113.00,09/15/12Z,45,-,TROPICAL STORM
26.80,-112.40,09/15/18Z,25,-,XXX
27.00,-111.70,09/16/00Z,25,-,XXX
27.20,-111.00,09/16/06Z,25,-,XXX
27.30,-110.30,09/16/12Z,25,-,XXX
27.50,-109.40,09/16/18Z,25,-,XXX
27.80,-108.60,09/17/00Z,25,-,XXX
27.90,-107.80,09/17/06Z,25,-,XXX
28.00,-107.00,09/17/12Z,25,-,XXX
