LAT,LON,TIME,WIND,PR,STAT
18.50,-115.00,09/26/00Z,25,-,TROPICAL DEPRESSION
19.00,-115.00,09/26/06Z,25,-,TROPICAL DEPRESSION
19.50,-115.00,09/26/12Z,25,-,TROPICAL DEPRESSION
20.00,-115.10,09/26/18Z,25,-,TROPICAL DEPRESSION
20.40,-115.20,09/27/00Z,25,-,TROPICAL DEPRESSION
20.90,-115.00,09/27/06Z,25,-,TROPICAL DEPRESSION
21.50,-114.60,09/27/12Z,25,-,TROPICAL DEPRESSION
21.60,-113.90,09/27/18Z,25,-,TROPICAL DEPRESSION
21.60,-113.20,09/28/00Z,25,-,TROPICAL DEPRESSION
22.10,-112.70,09/28/06Z,45,-,TROPICAL STORM
23.20,-112.30,09/28/12Z,45,-,TROPICAL STORM
24.70,-110.80,09/28/18Z,45,-,TROPICAL STORM
26.30,-109.20,09/29/00Z,45,-,TROPICAL STORM
28.10,-108.80,09/29/06Z,25,-,XXX
29.90,-109.30,09/29/12Z,25,-,XXX
