LAT,LON,TIME,WIND,PR,STAT
12.90,-107.10,09/05/00Z,45,-,TROPICAL STORM
12.90,-107.90,09/05/06Z,45,-,TROPICAL STORM
12.80,-108.70,09/05/12Z,45,-,TROPICAL STORM
12.70,-109.50,09/05/18Z,45,-,TROPICAL STORM
12.60,-110.40,09/06/00Z,45,-,TROPICAL STORM
12.80,-111.90,09/06/06Z,45,-,TROPICAL STORM
13.30,-113.40,09/06/12Z,45,-,TROPICAL STORM
14.00,-114.60,09/06/18Z,75,-,HURRICANE-1
14.80,-115.70,09/07/00Z,75,-,HURRICANE-1
15.80,-116.90,09/07/06Z,75,-,HURRICANE-1
16.80,-118.10,09/07/12Z,75,-,HURRICANE-1
17.70,-119.10,09/07/18Z,75,-,HURRICANE-1
18.60,-120.00,09/08/00Z,75,-,HURRICANE-1
19.10,-120.60,09/08/06Z,75,-,HURRICANE-1
19.70,-121.20,09/08/12Z,75,-,HURRICANE-1
20.60,-121.80,09/08/18Z,65,-,HURRICANE-1
21.60,-122.30,09/09/00Z,65,-,HURRICANE-1
22.60,-122.60,09/09/06Z,65,-,HURRICANE-1
23.60,-122.70,09/09/12Z,65,-,HURRICANE-1
24.80,-122.80,09/09/18Z,65,-,HURRICANE-1
25.90,-122.50,09/10/00Z,45,-,TROPICAL STORM
26.80,-121.60,09/10/06Z,45,-,TROPICAL STORM
27.60,-120.60,09/10/12Z,45,-,TROPICAL STORM
28.30,-119.90,09/10/18Z,45,-,TROPICAL STORM
29.10,-119.20,09/11/00Z,45,-,TROPICAL STORM
29.70,-119.50,09/11/06Z,45,-,TROPICAL STORM
30.00,-120.50,09/11/12Z,45,-,TROPICAL STORM
