LAT,LON,TIME,WIND,PR,STAT
15.00,-113.10,09/13/12Z,25,-,TROPICAL DEPRESSION
15.40,-114.60,09/13/18Z,25,-,TROPICAL DEPRESSION
15.60,-116.10,09/14/00Z,45,-,TROPICAL STORM
15.60,-116.50,09/14/06Z,45,-,TROPICAL STORM
15.50,-116.90,09/14/12Z,45,-,TROPICAL STORM
15.50,-117.30,09/14/18Z,45,-,TROPICAL STORM
15.50,-117.70,09/15/00Z,45,-,TROPICAL STORM
15.40,-118.20,09/15/06Z,45,-,TROPICAL STORM
15.40,-118.70,09/15/12Z,45,-,TROPICAL STORM
15.50,-119.40,09/15/18Z,45,-,TROPICAL STORM
15.60,-120.00,09/16/00Z,45,-,TROPICAL STORM
15.60,-120.70,09/16/06Z,45,-,TROPICAL STORM
15.70,-121.30,09/16/12Z,45,-,TROPICAL STORM
15.80,-122.10,09/16/18Z,45,-,TROPICAL STORM
16.00,-122.80,09/17/00Z,45,-,TROPICAL STORM
16.20,-123.60,09/17/06Z,45,-,TROPICAL STORM
16.40,-124.30,09/17/12Z,45,-,TROPICAL STORM
16.70,-125.10,09/17/18Z,45,-,TROPICAL STORM
17.10,-126.00,09/18/00Z,45,-,TROPICAL STORM
17.50,-126.90,09/18/06Z,45,-,TROPICAL STORM
17.90,-127.80,09/18/12Z,45,-,TROPICAL STORM
18.50,-128.80,09/18/18Z,45,-,TROPICAL STORM
19.40,-129.50,09/19/00Z,45,-,TROPICAL STORM
19.70,-129.70,09/19/06Z,45,-,TROPICAL STORM
20.00,-129.80,09/19/12Z,45,-,TROPICAL STORM
20.20,-129.90,09/19/18Z,45,-,TROPICAL STORM
20.50,-129.90,09/20/00Z,45,-,TROPICAL STORM
20.90,-129.40,09/20/06Z,45,-,TROPICAL STORM
21.00,-128.70,09/20/12Z,45,-,TROPICAL STORM
21.00,-128.10,09/20/18Z,45,-,TROPICAL STORM
20.90,-127.50,09/21/00Z,45,-,TROPICAL STORM
20.80,-127.00,09/21/06Z,45,-,TROPICAL STORM
20.70,-126.50,09/21/12Z,45,-,TROPICAL STORM
